COMMON_NAME,SCIENTIFIC_NAME,TipLabel,class,order,family,adult_body_mass_g,female_body_mass_g,male_body_mass_g
Great Tit,Parus major,Parus_major,Aves,Passeriformes,Paridae,18,17.9,19.05
Green-backed Tit,Parus monticolus,Parus_monticolus,Aves,Passeriformes,Paridae,14.25,13.95,14.4
Coal Tit,Periparus ater,Parus_ater,Aves,Passeriformes,Paridae,9.275,8.85,8.9
Rufous-vented Tit,Periparus rubidiventris,Parus_rubidiventris,Aves,Passeriformes,Paridae,11.3,10,9.9
Black-capped Chickadee,Poecile atricapillus,Parus_atricapillus,Aves,Passeriformes,Paridae,10.8,12.4,11.65
Carolina Chickadee,Poecile carolinensis,Parus_carolinensis,Aves,Passeriformes,Paridae,10.25,9.9,10.1
Mountain Chickadee,Poecile gambeli,Parus_gambeli,Aves,Passeriformes,Paridae,11.5185,11.05,11.65
Boreal Chickadee,Poecile hudsonicus,Parus_hudsonicus,Aves,Passeriformes,Paridae,9.8,-999,-999
Black-bibbed Tit,Poecile hypermelaenus,Parus_hypermelaenus,Aves,Passeriformes,Paridae,11.35,11.7,11.9
Sombre Tit,Poecile lugubris,Parus_lugubris,Aves,Passeriformes,Paridae,17.375,17,17.5
Willow Tit,Poecile montanus,Parus_montanus,Aves,Passeriformes,Paridae,11.2,11.1,12.05
Marsh Tit,Poecile palustris,Parus_palustris,Aves,Passeriformes,Paridae,11.35,11.7,11.9
Chestnut-backed Chickadee,Poecile rufescens,Parus_rufescens,Aves,Passeriformes,Paridae,9.7,9.1,9.7
Mexican Chickadee,Poecile sclateri,Parus_sclateri,Aves,Passeriformes,Paridae,10.65,10.3,10.3
White-browed Tit,Poecile superciliosus,Parus_superciliosus,Aves,Passeriformes,Paridae,11.55,-999,-999
Ground Tit,Pseudopodoces humilis,Pseudopodoces_humilis,Aves,Passeriformes,Paridae,46.75,-999,45.5
White-fronted Tit,Sittiparus semilarvatus,Parus_semilarvatus,Aves,Passeriformes,Paridae,17.825,-999,-999
Varied Tit,Sittiparus varius,Parus_varius,Aves,Passeriformes,Paridae,17.025,-999,-999
Yellow-browed Tit,Sylviparus modestus,Sylviparus_modestus,Aves,Passeriformes,Paridae,8.125,-999,-999
Golden-browed Warbler,Basileuterus belli,Basileuterus_belli,Aves,Passeriformes,Parulidae,10.6,-999,-999
Golden-crowned Warbler,Basileuterus culicivorus,Basileuterus_culicivorus,Aves,Passeriformes,Parulidae,10.75,9.6,-999
Pirre Warbler,Basileuterus ignotus,Basileuterus_ignotus,Aves,Passeriformes,Parulidae,11.8,-999,-999
Fan-tailed Warbler,Basileuterus lachrymosus,Euthlypis_lachrymosa,Aves,Passeriformes,Parulidae,16.5,-999,-999
Black-cheeked Warbler,Basileuterus melanogenys,Basileuterus_melanogenys,Aves,Passeriformes,Parulidae,11.8,-999,-999
Rufous-capped Warbler,Basileuterus rufifrons,Basileuterus_rufifrons,Aves,Passeriformes,Parulidae,10.9,-999,-999
Three-banded Warbler,Basileuterus trifasciatus,Basileuterus_trifasciatus,Aves,Passeriformes,Parulidae,9.725,-999,-999
Three-striped Warbler,Basileuterus tristriatus,Basileuterus_tristriatus,Aves,Passeriformes,Parulidae,12.05,-999,-999
Canada Warbler,Cardellina canadensis,Wilsonia_canadensis,Aves,Passeriformes,Parulidae,10.35,10.075,10.475
Wilson's Warbler,Cardellina pusilla,Wilsonia_pusilla,Aves,Passeriformes,Parulidae,7.2,6.7,7
Red Warbler,Cardellina rubra,Ergaticus_ruber,Aves,Passeriformes,Parulidae,8.15,-999,-999
Red-faced Warbler,Cardellina rubrifrons,Cardellina_rubrifrons,Aves,Passeriformes,Parulidae,9.8,-999,-999
Pink-headed Warbler,Cardellina versicolor,Ergaticus_versicolor,Aves,Passeriformes,Parulidae,10,-999,10
Whistling Warbler,Catharopeza bishopi,Catharopeza_bishopi,Aves,Passeriformes,Parulidae,15.5,-999,-999
Masked Yellowthroat,Geothlypis aequinoctialis,Geothlypis_aequinoctialis,Aves,Passeriformes,Parulidae,13.325,12.8,14.3
Black-lored Yellowthroat,Geothlypis auricularis,Geothlypis_auricularis,Aves,Passeriformes,Parulidae,13.325,12.8,14.3
Belding's Yellowthroat,Geothlypis beldingi,Geothlypis_beldingi,Aves,Passeriformes,Parulidae,15.75,-999,15.725
Chiriqui Yellowthroat,Geothlypis chiriquensis,Geothlypis_chiriquensis,Aves,Passeriformes,Parulidae,13.325,12.8,14.3
Altamira Yellowthroat,Geothlypis flavovelata,Geothlypis_flavovelata,Aves,Passeriformes,Parulidae,10.9,-999,10.875
Kentucky Warbler,Geothlypis formosa,Oporornis_formosus,Aves,Passeriformes,Parulidae,14.115,14.2,14.25
Hooded Yellowthroat,Geothlypis nelsoni,Geothlypis_nelsoni,Aves,Passeriformes,Parulidae,11,-999,10.975
Mourning Warbler,Geothlypis philadelphia,Oporornis_philadelphia,Aves,Passeriformes,Parulidae,12,11.5,12.15
Grey-crowned Yellowthroat,Geothlypis poliocephala,Geothlypis_poliocephala,Aves,Passeriformes,Parulidae,14.8,-999,-999
Bahama Yellowthroat,Geothlypis rostrata,Geothlypis_rostrata,Aves,Passeriformes,Parulidae,16.2,-999,-999
Olive-crowned Yellowthroat,Geothlypis semiflava,Geothlypis_semiflava,Aves,Passeriformes,Parulidae,17.2,-999,-999
Black-polled Yellowthroat,Geothlypis speciosa,Geothlypis_speciosa,Aves,Passeriformes,Parulidae,11.2,-999,-999
MacGillivray's Warbler,Geothlypis tolmiei,Oporornis_tolmiei,Aves,Passeriformes,Parulidae,10.5,-999,11.2
Common Yellowthroat,Geothlypis trichas,Geothlypis_trichas,Aves,Passeriformes,Parulidae,9.666666667,9.775,10.04166667
Southern Yellowthroat,Geothlypis velata,Geothlypis_velata,Aves,Passeriformes,Parulidae,13.325,12.8,14.3
Worm-eating Warbler,Helmitheros vermivorum,Helmitheros_vermivorum,Aves,Passeriformes,Parulidae,13.2,15.2,13.2
Orange-crowned Warbler,Leiothlypis celata,Vermivora_celata,Aves,Passeriformes,Parulidae,9.2,9.45,9.05
Colima Warbler,Leiothlypis crissalis,Vermivora_crissalis,Aves,Passeriformes,Parulidae,9.65,-999,-999
Lucy's Warbler,Leiothlypis luciae,Vermivora_luciae,Aves,Passeriformes,Parulidae,6.6,-999,-999
Tennessee Warbler,Leiothlypis peregrina,Vermivora_peregrina,Aves,Passeriformes,Parulidae,9.55,9.65,9.9
Nashville Warbler,Leiothlypis ruficapilla,Vermivora_ruficapilla,Aves,Passeriformes,Parulidae,8.4,8.35,8.65
Virginia's Warbler,Leiothlypis virginiae,Vermivora_virginiae,Aves,Passeriformes,Parulidae,8.2,8.3,8.1
Swainson's Warbler,Limnothlypis swainsonii,Limnothlypis_swainsonii,Aves,Passeriformes,Parulidae,17.35,12.7,13.6
Black-and-white Warbler,Mniotilta varia,Mniotilta_varia,Aves,Passeriformes,Parulidae,10.9,10.6,11
Brown-capped Whitestart,Myioborus brunniceps,Myioborus_brunniceps,Aves,Passeriformes,Parulidae,9.275,-999,-999
Tepui Whitestart,Myioborus castaneocapilla,Myioborus_castaneocapilla,Aves,Passeriformes,Parulidae,10.6,10.525,11.5
Yellow-crowned Whitestart,Myioborus flavivertex,Myioborus_flavivertex,Aves,Passeriformes,Parulidae,-999,-999,-999
Spectacled Whitestart,Myioborus melanocephalus,Myioborus_melanocephalus,Aves,Passeriformes,Parulidae,11.3,-999,-999
Slate-throated Whitestart,Myioborus miniatus,Myioborus_miniatus,Aves,Passeriformes,Parulidae,10,-999,-999
Golden-fronted Whitestart,Myioborus ornatus,Myioborus_ornatus,Aves,Passeriformes,Parulidae,11.825,-999,-999
Painted Whitestart,Myioborus pictus,Myioborus_pictus,Aves,Passeriformes,Parulidae,9.775,9.9,9.7
Collared Whitestart,Myioborus torquatus,Myioborus_torquatus,Aves,Passeriformes,Parulidae,10.5,-999,-999
Two-banded Warbler,Myiothlypis bivittata,Basileuterus_bivittatus,Aves,Passeriformes,Parulidae,14.6,-999,-999
Choco Warbler,Myiothlypis chlorophrys,Basileuterus_chlorophrys,Aves,Passeriformes,Parulidae,11.15,-999,-999
White-lored Warbler,Myiothlypis conspicillata,Basileuterus_conspicillatus,Aves,Passeriformes,Parulidae,-999,-999,-999
Russet-crowned Warbler,Myiothlypis coronata,Basileuterus_coronatus,Aves,Passeriformes,Parulidae,16.4,-999,-999
Flavescent Warbler,Myiothlypis flaveola,Basileuterus_flaveolus,Aves,Passeriformes,Parulidae,13.25,-999,-999
Grey-and-gold Warbler,Myiothlypis fraseri,Basileuterus_fraseri,Aves,Passeriformes,Parulidae,11.6,-999,-999
Buff-rumped Warbler,Myiothlypis fulvicauda,Phaeothlypis_fulvicauda,Aves,Passeriformes,Parulidae,14.9,-999,-999
White-striped Warbler,Myiothlypis leucophrys,Basileuterus_leucophrys,Aves,Passeriformes,Parulidae,18.3,-999,-999
Citrine Warbler,Myiothlypis luteoviridis,Basileuterus_luteoviridis,Aves,Passeriformes,Parulidae,13.7,12.2,13.7
Black-crested Warbler,Myiothlypis nigrocristata,Basileuterus_nigrocristatus,Aves,Passeriformes,Parulidae,13.9,-999,-999
Pale-legged Warbler,Myiothlypis signata,Basileuterus_signatus,Aves,Passeriformes,Parulidae,12.35,-999,-999
Connecticut Warbler,Oporornis agilis,Oporornis_agilis,Aves,Passeriformes,Parulidae,15.3,-999,15.3
Flame-throated Warbler,Oreothlypis gutturalis,Parula_gutturalis,Aves,Passeriformes,Parulidae,9.5,-999,-999
Crescent-chested Warbler,Oreothlypis superciliosa,Parula_superciliosa,Aves,Passeriformes,Parulidae,9,-999,-999
Louisiana Waterthrush,Parkesia motacilla,Seiurus_motacilla,Aves,Passeriformes,Parulidae,20.825,20.85,20.1
Northern Waterthrush,Parkesia noveboracensis,Seiurus_noveboracensis,Aves,Passeriformes,Parulidae,17,-999,-999
Prothonotary Warbler,Protonotaria citrea,Protonotaria_citrea,Aves,Passeriformes,Parulidae,14.95,16.45,14.65
Ovenbird,Seiurus aurocapilla,Seiurus_aurocapilla,Aves,Passeriformes,Parulidae,19.4,21.7,22.5
Adelaide's Warbler,Setophaga adelaidae,Dendroica_adelaidae,Aves,Passeriformes,Parulidae,7.625,7.175,7.4
American Yellow Warbler,Setophaga aestiva,Dendroica_aestiva,Aves,Passeriformes,Parulidae,10,10,10
Northern Parula,Setophaga americana,Parula_americana,Aves,Passeriformes,Parulidae,7.9,7.65,7.8
Black-throated Blue Warbler,Setophaga caerulescens,Dendroica_caerulescens,Aves,Passeriformes,Parulidae,10.2,9.8,10.45
Bay-breasted Warbler,Setophaga castanea,Dendroica_castanea,Aves,Passeriformes,Parulidae,12.11333333,11.55,13
Cerulean Warbler,Setophaga cerulea,Dendroica_cerulea,Aves,Passeriformes,Parulidae,9.05,8.8,9.3
Golden-cheeked Warbler,Setophaga chrysoparia,Dendroica_chrysoparia,Aves,Passeriformes,Parulidae,9.9,9.9,9.9
Hooded Warbler,Setophaga citrina,Wilsonia_citrina,Aves,Passeriformes,Parulidae,10.7,10.3,10.8
Prairie Warbler,Setophaga discolor,Dendroica_discolor,Aves,Passeriformes,Parulidae,7.65,7.5,8
Yellow-throated Warbler,Setophaga dominica,Dendroica_dominica,Aves,Passeriformes,Parulidae,9.7,9.5,9.9
Blackburnian Warbler,Setophaga fusca,Dendroica_fusca,Aves,Passeriformes,Parulidae,9.75,9.5,10
Grace's Warbler,Setophaga graciae,Dendroica_graciae,Aves,Passeriformes,Parulidae,8.1,7.4,8
Kirtland's Warbler,Setophaga kirtlandii,Dendroica_kirtlandii,Aves,Passeriformes,Parulidae,13.95,14.2,13.6
Magnolia Warbler,Setophaga magnolia,Dendroica_magnolia,Aves,Passeriformes,Parulidae,8.6,8.275,8.7
Black-throated Grey Warbler,Setophaga nigrescens,Dendroica_nigrescens,Aves,Passeriformes,Parulidae,8.2,7.55,8.8
Hermit Warbler,Setophaga occidentalis,Dendroica_occidentalis,Aves,Passeriformes,Parulidae,10.28833333,10.3,10.4
Palm Warbler,Setophaga palmarum,Dendroica_palmarum,Aves,Passeriformes,Parulidae,10.25,10.6,9.7
Chestnut-sided Warbler,Setophaga pensylvanica,Dendroica_pensylvanica,Aves,Passeriformes,Parulidae,9.6,9.275,9.725
Arrowhead Warbler,Setophaga pharetra,Dendroica_pharetra,Aves,Passeriformes,Parulidae,10.1,-999,-999
Pine Warbler,Setophaga pinus,Dendroica_pinus,Aves,Passeriformes,Parulidae,11.9,11.1,-999
Tropical Parula,Setophaga pitiayumi,Parula_pitiayumi,Aves,Passeriformes,Parulidae,6.9,6.6,7.2
Olive-capped Warbler,Setophaga pityophila,Dendroica_pityophila,Aves,Passeriformes,Parulidae,8.2,12,-999
Plumbeous Warbler,Setophaga plumbea,Dendroica_plumbea,Aves,Passeriformes,Parulidae,10.55,-999,-999
American Redstart,Setophaga ruticilla,Setophaga_ruticilla,Aves,Passeriformes,Parulidae,8.35,8.225,8.375
Blackpoll Warbler,Setophaga striata,Dendroica_striata,Aves,Passeriformes,Parulidae,12.39166667,12.05,12.3
Barbuda Warbler,Setophaga subita,Dendroica_subita,Aves,Passeriformes,Parulidae,7.6,7.175,7.5
Cape May Warbler,Setophaga tigrina,Dendroica_tigrina,Aves,Passeriformes,Parulidae,10.58,10.025,11.1
Townsend's Warbler,Setophaga townsendi,Dendroica_townsendi,Aves,Passeriformes,Parulidae,8.85,8.65,9.1
Black-throated Green Warbler,Setophaga virens,Dendroica_virens,Aves,Passeriformes,Parulidae,9,8.5,9
Vitelline Warbler,Setophaga vitellina,Dendroica_vitellina,Aves,Passeriformes,Parulidae,7.175,-999,-999
Bachman's Warbler,Vermivora bachmanii,Vermivora_bachmanii,Aves,Passeriformes,Parulidae,-999,-999,-999
Golden-winged Warbler,Vermivora chrysoptera,Vermivora_chrysoptera,Aves,Passeriformes,Parulidae,8.9,8.775,9.1
Blue-winged Warbler,Vermivora cyanoptera,Vermivora_pinus,Aves,Passeriformes,Parulidae,8.9325,8.6,8.9
Bush Petronia,Gymnoris dentata,Petronia_dentata,Aves,Passeriformes,Passeridae,18.4,18.1,18.6
Yellow-spotted Petronia,Gymnoris pyrgita,Petronia_pyrgita,Aves,Passeriformes,Passeridae,19.125,18,22.25
Yellow-throated Petronia,Gymnoris superciliaris,Petronia_superciliaris,Aves,Passeriformes,Passeridae,26,-999,25.4
Rufous-tailed Weaver,Histurgops ruficauda,Histurgops_ruficaudus,Aves,Passeriformes,Passeridae,69,69,-999
Cinnamon Ibon,Hypocryptadius cinnamomeus,Hypocryptadius_cinnamomeus,Aves,Passeriformes,Passeridae,29.05,-999,-999
White-winged Snowfinch,Montifringilla nivalis,Montifringilla_nivalis,Aves,Passeriformes,Passeridae,36,36.75,36
Saxaul Sparrow,Passer ammodendri,Passer_ammodendri,Aves,Passeriformes,Passeridae,28.5,-999,29.6
Somali Sparrow,Passer castanopterus,Passer_castanopterus,Aves,Passeriformes,Passeridae,18,-999,18
Kordofan Sparrow,Passer cordofanicus,Passer_cordofanicus,Aves,Passeriformes,Passeridae,31.5,31.5,-999
Southern Grey-headed Sparrow,Passer diffusus,Passer_diffusus,Aves,Passeriformes,Passeridae,27,25.8,27
House Sparrow,Passer domesticus,Passer_domesticus,Aves,Passeriformes,Passeridae,27.7,27.7,28
Chestnut Sparrow,Passer eminibey,Passer_eminibey,Aves,Passeriformes,Passeridae,13.45,13.7,14.1
Arabian Golden Sparrow,Passer euchlorus,Passer_euchlorus,Aves,Passeriformes,Passeridae,14,11.25,14.975
Plain-backed Sparrow,Passer flaveolus,Passer_flaveolus,Aves,Passeriformes,Passeridae,19.7,18.5,-999
Parrot-billed Sparrow,Passer gongonensis,Passer_gongonensis,Aves,Passeriformes,Passeridae,29.25833334,25.8,27
Northern Grey-headed Sparrow,Passer griseus,Passer_griseus,Aves,Passeriformes,Passeridae,28.1,25.8,27
Abd al-Kuri Sparrow,Passer hemileucus,Passer_hemileucus,Aves,Passeriformes,Passeridae,27.33333333,29.3,27.5
Spanish Sparrow,Passer hispaniolensis,Passer_hispaniolensis,Aves,Passeriformes,Passeridae,24.2,24,26.4
Iago Sparrow,Passer iagoensis,Passer_iagoensis,Aves,Passeriformes,Passeridae,31.5,31.5,-999
Socotra Sparrow,Passer insularis,Passer_insularis,Aves,Passeriformes,Passeridae,27.33333333,29.3,27.5
Sudan Golden Sparrow,Passer luteus,Passer_luteus,Aves,Passeriformes,Passeridae,14,11.25,14.975
Cape Sparrow,Passer melanurus,Passer_melanurus,Aves,Passeriformes,Passeridae,29.75,29.4,29.6
Dead Sea Sparrow,Passer moabiticus,Passer_moabiticus,Aves,Passeriformes,Passeridae,17.5,18,16.9
Eurasian Tree Sparrow,Passer montanus,Passer_montanus,Aves,Passeriformes,Passeridae,22.05,22.5,22.8
Great Sparrow,Passer motitensis,Passer_motitensis,Aves,Passeriformes,Passeridae,32.3,31.5,34.7
Kenya Sparrow,Passer rufocinctus,Passer_rufocinctus,Aves,Passeriformes,Passeridae,28.15,29.8,27.5
Russet Sparrow,Passer rutilans,Passer_rutilans,Aves,Passeriformes,Passeridae,18.875,19.6,16.575
Shelley's Sparrow,Passer shelleyi,Passer_shelleyi,Aves,Passeriformes,Passeridae,31.5,31.5,-999
Desert Sparrow,Passer simplex,Passer_simplex,Aves,Passeriformes,Passeridae,19.5,19.75,19.5
Swahili Sparrow,Passer suahelicus,Passer_suahelicus,Aves,Passeriformes,Passeridae,28.1,25.8,27
Swainson's Sparrow,Passer swainsonii,Passer_swainsonii,Aves,Passeriformes,Passeridae,30.01666667,25.8,27
-999,Petronia brachydactyla,Petronia_brachydactyla,Aves,Passeriformes,Passeridae,25,-999,-999
Rock Sparrow,Petronia petronia,Petronia_petronia,Aves,Passeriformes,Passeridae,31.7,32.55,33.7
Sociable Weaver,Philetairus socius,Philetairus_socius,Aves,Passeriformes,Passeridae,27.4,27.15,27.5
Donaldson Smith's Sparrow-Weaver,Plocepasser donaldsoni,Plocepasser_donaldsoni,Aves,Passeriformes,Passeridae,39.9,41.5,42
White-browed Sparrow-Weaver,Plocepasser mahali,Plocepasser_mahali,Aves,Passeriformes,Passeridae,42.775,46.45,49.5
Chestnut-backed Sparrow-Weaver,Plocepasser rufoscapulatus,Plocepasser_rufoscapulatus,Aves,Passeriformes,Passeridae,44,39,46.5
Chestnut-crowned Sparrow-Weaver,Plocepasser superciliosus,Plocepasser_superciliosus,Aves,Passeriformes,Passeridae,37.1,-999,34
Grey-capped Social Weaver,Pseudonigrita arnaudi,Pseudonigrita_arnaudi,Aves,Passeriformes,Passeridae,20,19.5,20.3
Black-capped Social Weaver,Pseudonigrita cabanisi,Pseudonigrita_cabanisi,Aves,Passeriformes,Passeridae,21.75,18.5,22.9
Rufous-necked Snowfinch,Pyrgilauda ruficollis,Montifringilla_ruficollis,Aves,Passeriformes,Passeridae,22.8,-999,-999
Afghan Snowfinch,Pyrgilauda theresae,Montifringilla_theresae,Aves,Passeriformes,Passeridae,24.5,-999,-999
Dusky Fulvetta,Alcippe brunnea,Alcippe_brunnea,Aves,Passeriformes,Pellorneidae,17.5,-999,-999
Brown Fulvetta,Alcippe brunneicauda,Alcippe_brunneicauda,Aves,Passeriformes,Pellorneidae,14.3,-999,-999
Rufous-winged Fulvetta,Alcippe castaneceps,Alcippe_castaneceps,Aves,Passeriformes,Pellorneidae,14,-999,-999
Yellow-throated Fulvetta,Alcippe cinerea,Alcippe_cinerea,Aves,Passeriformes,Pellorneidae,11,11,-999
Rusty-capped Fulvetta,Alcippe dubia,Alcippe_dubia,Aves,Passeriformes,Pellorneidae,17.5,-999,-999
Black-browed Fulvetta,Alcippe grotei,Alcippe_grotei,Aves,Passeriformes,Pellorneidae,14.75,15.65,14.525
Black-crowned Fulvetta,Alcippe klossi,Alcippe_klossi,Aves,Passeriformes,Pellorneidae,14,-999,-999
Grey-cheeked Fulvetta,Alcippe morrisonia,Alcippe_morrisonia,Aves,Passeriformes,Pellorneidae,15.1,15.6,15.4
Nepal Fulvetta,Alcippe nipalensis,Alcippe_nipalensis,Aves,Passeriformes,Pellorneidae,15.8,15,16
Mountain Fulvetta,Alcippe peracensis,Alcippe_peracensis,Aves,Passeriformes,Pellorneidae,14.75,15.65,14.525
Brown-cheeked Fulvetta,Alcippe poioicephala,Alcippe_poioicephala,Aves,Passeriformes,Pellorneidae,20.5,20,-999
White-hooded Babbler,Gampsorhynchus rufulus,Gampsorhynchus_rufulus,Aves,Passeriformes,Pellorneidae,37,-999,37
Collared Babbler,Gampsorhynchus torquatus,Gampsorhynchus_torquatus,Aves,Passeriformes,Pellorneidae,37,-999,37
Indian Grassbird,Graminicola bengalensis,Graminicola_bengalensis,Aves,Passeriformes,Pellorneidae,14.75,-999,-999
Scaly-breasted Illadopsis,Illadopsis albipectus,Illadopsis_albipectus,Aves,Passeriformes,Pellorneidae,30.6,30.5,33
Blackcap Illadopsis,Illadopsis cleaveri,Illadopsis_cleaveri,Aves,Passeriformes,Pellorneidae,30.9,29.2,26.5
Brown Illadopsis,Illadopsis fulvescens,Illadopsis_fulvescens,Aves,Passeriformes,Pellorneidae,27.2,26.5,-999
Puvel's Illadopsis,Illadopsis puveli,Illadopsis_puveli,Aves,Passeriformes,Pellorneidae,46.75,39,43
Mountain Illadopsis,Illadopsis pyrrhoptera,Illadopsis_pyrrhoptera,Aves,Passeriformes,Pellorneidae,24.8,22.1,24.8
Rufous-winged Illadopsis,Illadopsis rufescens,Illadopsis_rufescens,Aves,Passeriformes,Pellorneidae,37,35,35
Pale-breasted Illadopsis,Illadopsis rufipennis,Illadopsis_rufipennis,Aves,Passeriformes,Pellorneidae,22.35,24,19.7
Striped Wren-Babbler,Kenopia striata,Kenopia_striata,Aves,Passeriformes,Pellorneidae,19.9,-999,-999
Abbott's Babbler,Malacocincla abbotti,Malacocincla_abbotti,Aves,Passeriformes,Pellorneidae,26.8,26.8,29.25
Ashy-headed Babbler,Malacocincla cinereiceps,Malacocincla_cinereiceps,Aves,Passeriformes,Pellorneidae,24,-999,-999
Short-tailed Babbler,Malacocincla malaccensis,Malacocincla_malaccensis,Aves,Passeriformes,Pellorneidae,21.45,-999,-999
Horsfield's Babbler,Malacocincla sepiaria,Malacocincla_sepiaria,Aves,Passeriformes,Pellorneidae,25.75,-999,-999
Sooty-capped Babbler,Malacopteron affine,Malacopteron_affine,Aves,Passeriformes,Pellorneidae,17.15,18.6,15.7
Grey-breasted Babbler,Malacopteron albogulare,Malacopteron_albogulare,Aves,Passeriformes,Pellorneidae,16.25,-999,-999
Scaly-crowned Babbler,Malacopteron cinereum,Malacopteron_cinereum,Aves,Passeriformes,Pellorneidae,18.05,-999,-999
Moustached Babbler,Malacopteron magnirostre,Malacopteron_magnirostre,Aves,Passeriformes,Pellorneidae,19.4,17.95,21.5
Rufous-crowned Babbler,Malacopteron magnum,Malacopteron_magnum,Aves,Passeriformes,Pellorneidae,27.6,-999,-999
Melodious Babbler,Malacopteron palawanense,Malacopteron_palawanense,Aves,Passeriformes,Pellorneidae,32.4,-999,-999
Streaked Wren-Babbler,Napothera brevicaudata,Napothera_brevicaudata,Aves,Passeriformes,Pellorneidae,18.75,-999,-999
Mountain Wren-Babbler,Napothera crassa,Napothera_crassa,Aves,Passeriformes,Pellorneidae,26.7,-999,-999
Eyebrowed Wren-Babbler,Napothera epilepidota,Napothera_epilepidota,Aves,Passeriformes,Pellorneidae,16.375,-999,-999
Spot-throated Babbler,Pellorneum albiventre,Pellorneum_albiventre,Aves,Passeriformes,Pellorneidae,21.5,-999,21.5
Black-capped Babbler,Pellorneum capistratum,Pellorneum_capistratum,Aves,Passeriformes,Pellorneidae,25.05,-999,-999
Brown-capped Babbler,Pellorneum fuscocapillus,Pellorneum_fuscocapillus,Aves,Passeriformes,Pellorneidae,30,-999,30
Puff-throated Babbler,Pellorneum ruficeps,Pellorneum_ruficeps,Aves,Passeriformes,Pellorneidae,26,-999,-999
Striated Wren-Babbler,Ptilocichla mindanensis,Ptilocichla_mindanensis,Aves,Passeriformes,Pellorneidae,28.925,-999,-999
Spotted Thrush-Babbler,Ptyrticus turdinus,Ptyrticus_turdinus,Aves,Passeriformes,Pellorneidae,65.75,59,69.3
Sumatran Wren-Babbler,Rimator albostriatus,Rimator_albostriatus,Aves,Passeriformes,Pellorneidae,19.5,-999,19.5
Long-billed Wren-Babbler,Rimator malacoptilus,Rimator_malacoptilus,Aves,Passeriformes,Pellorneidae,19.5,-999,19.5
White-throated Wren-Babbler,Rimator pasquieri,Rimator_pasquieri,Aves,Passeriformes,Pellorneidae,19.5,-999,19.5
Ferruginous Babbler,Trichastoma bicolor,Trichastoma_bicolor,Aves,Passeriformes,Pellorneidae,26.925,-999,-999
Sulawesi Babbler,Trichastoma celebense,Trichastoma_celebense,Aves,Passeriformes,Pellorneidae,24.05,-999,-999
White-chested Babbler,Trichastoma rostratum,Trichastoma_rostratum,Aves,Passeriformes,Pellorneidae,-999,-999,-999
Lesser Ground Robin,Amalocichla incerta,Amalocichla_incerta,Aves,Passeriformes,Petroicidae,32.35,32,32.75
Southern Scrub Robin,Drymodes brunneopygia,Drymodes_brunneopygia,Aves,Passeriformes,Petroicidae,33.95,30.05,36.8
Northern Scrub Robin,Drymodes superciliaris,Drymodes_superciliaris,Aves,Passeriformes,Petroicidae,46,-999,44
Eastern Yellow Robin,Eopsaltria australis,Eopsaltria_australis,Aves,Passeriformes,Petroicidae,20.25,18.3,22.2
White-breasted Robin,Eopsaltria georgiana,Eopsaltria_georgiana,Aves,Passeriformes,Petroicidae,19.15,17.5,20.8
Western Yellow Robin,Eopsaltria griseogularis,Eopsaltria_griseogularis,Aves,Passeriformes,Petroicidae,19.875,18.85,22.2
Garnet Robin,Eugerygone rubra,Eugerygone_rubra,Aves,Passeriformes,Petroicidae,8.4,-999,-999
Ashy Robin,Heteromyias albispecularis,Heteromyias_albispecularis,Aves,Passeriformes,Petroicidae,35.85,32.8,38
Grey-headed Robin,Heteromyias cinereifrons,Heteromyias_albispecularis,Aves,Passeriformes,Petroicidae,36.3,32.8,39.25
Hooded Robin,Melanodryas cucullata,Melanodryas_cucullata,Aves,Passeriformes,Petroicidae,21.575,23.2,24
Dusky Robin,Melanodryas vittata,Melanodryas_vittata,Aves,Passeriformes,Petroicidae,26.6,25.6,26.9
Jacky Winter,Microeca fascinans,Microeca_fascinans,Aves,Passeriformes,Petroicidae,14.75833334,14.9,15.1
Lemon-bellied Flyrobin,Microeca flavigaster,Microeca_flavigaster,Aves,Passeriformes,Petroicidae,12,11.5,12
Olive Flyrobin,Microeca flavovirescens,Microeca_flavovirescens,Aves,Passeriformes,Petroicidae,14.6,-999,-999
Yellow-legged Flyrobin,Microeca griseoceps,Microeca_griseoceps,Aves,Passeriformes,Petroicidae,10.6,11.5,11.4
Canary Flyrobin,Microeca papuana,Microeca_papuana,Aves,Passeriformes,Petroicidae,14.4,-999,-999
Torrent Flyrobin,Monachella muelleriana,Monachella_muelleriana,Aves,Passeriformes,Petroicidae,24.875,-999,-999
Green-backed Robin,Pachycephalopsis hattamensis,Pachycephalopsis_hattamensis,Aves,Passeriformes,Petroicidae,34.6,-999,-999
White-eyed Robin,Pachycephalopsis poliosoma,Pachycephalopsis_poliosoma,Aves,Passeriformes,Petroicidae,37.25,35.8,39.5
Mangrove Robin,Peneoenanthe pulverulenta,Eopsaltria_pulverulenta,Aves,Passeriformes,Petroicidae,19.65,17.9,21.3
White-rumped Robin,Peneothello bimaculata,Peneothello_bimaculata,Aves,Passeriformes,Petroicidae,26.3,21.5,26.4
Smoky Robin,Peneothello cryptoleuca,Peneothello_cryptoleuca,Aves,Passeriformes,Petroicidae,18.9,-999,-999
Slaty Robin,Peneothello cyanus,Peneothello_cyanus,Aves,Passeriformes,Petroicidae,24.5,23.275,26.95
