COMMON_NAME,SCIENTIFIC_NAME,TipLabel,class,order,family,adult_body_mass_g,female_body_mass_g,male_body_mass_g
Harpy Eagle,Harpia harpyja,Harpia_harpyja,Aves,Accipitriformes,Accipitridae,4800,8300,4550
Papuan Eagle,Harpyopsis novaeguineae,Harpyopsis_novaeguineae,Aves,Accipitriformes,Accipitridae,2000,-999,-999
Slender-billed Kite,Helicolestes hamatus,Helicolestes_hamatus,Aves,Accipitriformes,Accipitridae,424.5,426,421.5
Long-tailed Honey Buzzard,Henicopernis longicauda,Henicopernis_longicauda,Aves,Accipitriformes,Accipitridae,588.5,730,447
Ayres's Hawk-Eagle,Hieraaetus ayresii,Hieraaetus_ayresii,Aves,Accipitriformes,Accipitridae,909.5,909.75,714
Little Eagle,Hieraaetus morphnoides,Hieraaetus_morphnoides,Aves,Accipitriformes,Accipitridae,791,949,633
Booted Eagle,Hieraaetus pennatus,Hieraaetus_pennatus,Aves,Accipitriformes,Accipitridae,842,975,705
Wahlberg's Eagle,Hieraaetus wahlbergi,Aquila_wahlbergi,Aves,Accipitriformes,Accipitridae,787,1223.5,641
Pygmy Eagle,Hieraaetus weiskei,Hieraaetus_weiskei,Aves,Accipitriformes,Accipitridae,791,949,633
Black Eagle,Ictinaetus malaiensis,Ictinaetus_malayensis,Aves,Accipitriformes,Accipitridae,1027.75,-999,-999
Mississippi Kite,Ictinia mississippiensis,Ictinia_mississippiensis,Aves,Accipitriformes,Accipitridae,281,311,245
Plumbeous Kite,Ictinia plumbea,Ictinia_plumbea,Aves,Accipitriformes,Accipitridae,245.25,256.5,241
Lizard Buzzard,Kaupifalco monogrammicus,Kaupifalco_monogrammicus,Aves,Accipitriformes,Accipitridae,278,310,244.25
Grey-headed Kite,Leptodon cayanensis,Leptodon_cayanensis,Aves,Accipitriformes,Accipitridae,474,268,261
White-collared Kite,Leptodon forbesi,Leptodon_forbesi,Aves,Accipitriformes,Accipitridae,576,-999,-999
White-browed Hawk,Leucopternis kuhli,Leucopternis_kuhli,Aves,Accipitriformes,Accipitridae,322.5,385,322.25
Black-faced Hawk,Leucopternis melanops,Leucopternis_melanops,Aves,Accipitriformes,Accipitridae,312.5,341.5,312
-999,Leucopternis occidentalis,Leucopternis_occidentalis,Aves,Accipitriformes,Accipitridae,656,779,626.5
Semiplumbeous Hawk,Leucopternis semiplumbeus,Leucopternis_semiplumbeus,Aves,Accipitriformes,Accipitridae,287.5,325,250
Long-crested Eagle,Lophaetus occipitalis,Lophaetus_occipitalis,Aves,Accipitriformes,Accipitridae,1179.125,1445,1137.75
Square-tailed Kite,Lophoictinia isura,Lophoictinia_isura,Aves,Accipitriformes,Accipitridae,585.5,670,501
Rufous-bellied Hawk-Eagle,Lophotriorchis kienerii,Lophotriorchis_kienerii,Aves,Accipitriformes,Accipitridae,815.5,-999,-999
Bat Hawk,Macheiramphus alcinus,Macheiramphus_alcinus,Aves,Accipitriformes,Accipitridae,650,-999,-999
Doria's Goshawk,Megatriorchis doriae,Megatriorchis_doriae,Aves,Accipitriformes,Accipitridae,1000,1000,-999
Pale Chanting Goshawk,Melierax canorus,Melierax_canorus,Aves,Accipitriformes,Accipitridae,636,724,548
-999,Melierax gabar,Melierax_gabar,Aves,Accipitriformes,Accipitridae,155.5,204,107
Dark Chanting Goshawk,Melierax metabates,Melierax_metabates,Aves,Accipitriformes,Accipitridae,758.5,846.75,670.75
Eastern Chanting Goshawk,Melierax poliopterus,Melierax_poliopterus,Aves,Accipitriformes,Accipitridae,636,724,548
Gabar Goshawk,Micronisus gabar,Melierax_gabar,Aves,Accipitriformes,Accipitridae,166.25,203.5,106.5
Black Kite,Milvus migrans,Milvus_migrans,Aves,Accipitriformes,Accipitridae,828.5,850,807
Red Kite,Milvus milvus,Milvus_milvus,Aves,Accipitriformes,Accipitridae,1090,1216,938.5
Barred Hawk,Morphnarchus princeps,Leucopternis_princeps,Aves,Accipitriformes,Accipitridae,1000,1000,-999
Crested Eagle,Morphnus guianensis,Morphnus_guianensis,Aves,Accipitriformes,Accipitridae,1750,1750,-999
Hooded Vulture,Necrosyrtes monachus,Necrosyrtes_monachus,Aves,Accipitriformes,Accipitridae,2075,-999,-999
Egyptian Vulture,Neophron percnopterus,Neophron_percnopterus,Aves,Accipitriformes,Accipitridae,2039.333333,2063,1964.5
Blyth's Hawk-Eagle,Nisaetus alboniger,Nisaetus_alboniger,Aves,Accipitriformes,Accipitridae,830,-999,-999
Javan Hawk-Eagle,Nisaetus bartelsi,Nisaetus_bartelsi,Aves,Accipitriformes,Accipitridae,-999,-999,-999
Changeable Hawk-Eagle,Nisaetus cirrhatus,Nisaetus_cirrhatus,Aves,Accipitriformes,Accipitridae,1585,1592.5,1360
Flores Hawk-Eagle,Nisaetus floris,Nisaetus_floris,Aves,Accipitriformes,Accipitridae,1585,1592.5,1360
Wallace's Hawk-Eagle,Nisaetus nanus,Nisaetus_nanus,Aves,Accipitriformes,Accipitridae,560,-999,-999
Mountain Hawk-Eagle,Nisaetus nipalensis,Nisaetus_nipalensis,Aves,Accipitriformes,Accipitridae,3000,3362.5,2650
Philippine Hawk-Eagle,Nisaetus philippensis,Nisaetus_philippensis,Aves,Accipitriformes,Accipitridae,1168,1168,-999
White-rumped Hawk,Parabuteo leucorrhous,Buteo_leucorrhous,Aves,Accipitriformes,Accipitridae,339.5,389,290
Harris's Hawk,Parabuteo unicinctus,Parabuteo_unicinctus,Aves,Accipitriformes,Accipitridae,939.63,1026.375,715
European Honey Buzzard,Pernis apivorus,Pernis_apivorus,Aves,Accipitriformes,Accipitridae,762.5,811.5,709
Barred Honey Buzzard,Pernis celebensis,Pernis_celebensis,Aves,Accipitriformes,Accipitridae,722,-999,-999
Philippine Eagle,Pithecophaga jefferyi,Pithecophaga_jefferyi,Aves,Accipitriformes,Accipitridae,5325,6000,4557
Martial Eagle,Polemaetus bellicosus,Polemaetus_bellicosus,Aves,Accipitriformes,Accipitridae,4706.75,4952,4162.5
Madagascan Harrier-Hawk,Polyboroides radiatus,Polyboroides_radiatus,Aves,Accipitriformes,Accipitridae,-999,-999,-999
African Harrier-Hawk,Polyboroides typus,Polyboroides_typus,Aves,Accipitriformes,Accipitridae,637.5,711,564
White Hawk,Pseudastur albicollis,Leucopternis_albicollis,Aves,Accipitriformes,Accipitridae,652,789.5,626.5
Snail Kite,Rostrhamus sociabilis,Rostrhamus_sociabilis,Aves,Accipitriformes,Accipitridae,382.5833333,400,351.5
Roadside Hawk,Rupornis magnirostris,Buteo_magnirostris,Aves,Accipitriformes,Accipitridae,276,332.35,269
