class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d
Aves,Psittaciformes,Psittacidae,Ara,ararauna,-999,Blue-and-yellow Macaw,-999,2,-999,1125,43,-999,-999,-999,-999,32.8,25,91,43,-999,-999,1132,1163,1406.25,-999,-999,-999,79,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Ara,chloropterus,-999,Red-and-green Macaw,-999,2.4,-999,1217,50.1,-999,-999,-999,-999,34,35,103,50.1,-999,-999,-999,1050,1296.5,-999,-999,-999,84,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Ara,glaucogularis,-999,Blue-throated Macaw,-999,2.4,-999,784,22,-999,-999,-999,-999,-999,-999,-999,22,-999,-999,-999,-999,784,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Ara,macao,-999,Scarlet Macaw,-999,1.75,-999,1015,64,-999,-999,-999,-999,29.3,-999,-999,48.5,-999,-999,900,-999,1105,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Ara,militaris,-999,Military Macaw,-999,2.7,-999,1134,46,-999,-999,-999,-999,-999,-999,-999,46,-999,-999,-999,1134,1056,-999,-999,-999,85,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Ara,rubrogenys,-999,Red-fronted Macaw,-999,1.85,-999,468,23,-999,-999,-999,-999,-999,-999,-999,23,-999,-999,-999,-999,468,-999,-999,-999,60,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Ara,severus,-999,Chestnut-fronted Macaw,-999,2,-999,347,28.5,-999,-999,-999,-999,21,28,-999,28.5,-999,-999,336,371,345,-999,-999,-999,44.5,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Aratinga,auricapillus,-999,Golden-capped Parakeet,-999,-999,-999,130,20.9,-999,-999,-999,-999,-999,-999,-999,20.9,-999,-999,-999,130,130,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Aratinga,guarouba,-999,-999,-999,2.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Aratinga,jandaya,-999,Jandaya Parakeet,-999,3,-999,89.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,89.375,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Aratinga,nenday,-999,Nanday Parakeet,-999,4,-999,128,18.7,-999,-999,-999,-999,-999,-999,-999,18.2,-999,-999,-999,-999,129.25,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Aratinga,solstitialis,-999,Sun Parakeet,-999,4,-999,110.965,-999,-999,-999,6.02,-999,8.74,27.5,56,-999,-999,-999,-999,-999,120.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Aratinga,weddellii,-999,Dusky-headed Parakeet,-999,3.75,-999,108.15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,110.25,-999,-999,-999,28,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Barnardius,zonarius,-999,Australian Ringneck,363.468,5,1.5,127,17.9,-999,-999,-999,-999,8.8,20,35,14.075,-999,-999,125.25,141.05,127,-999,-999,-999,36.5,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Bolbopsittacus,lunulatus,-999,Guaiabero,-999,-999,-999,68.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,68.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Bolborhynchus,aurifrons,-999,-999,-999,4.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Bolborhynchus,lineola,-999,Barred Parakeet,-999,4,-999,54.91,-999,-999,-999,2.32,-999,3.93,21.5,-999,-999,-999,-999,-999,-999,55.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
