SCIENTIFIC_NAME_tree,TipLabel,COMMON_NAME_tree,ebird_SCIENTIFIC_NAME,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc,matched
Cettia seebohmi,Cettia_seebohmi,Philippine Bush-warbler,Horornis seebohmi,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus victorini,Bradypterus_victorini,Victorin's Scrub-warbler,Cryptillas victorini,BL3,S4,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus timorensis,Bradypterus_timorensis,Timor Bush-warbler,Locustella montis,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus thoracicus,Bradypterus_thoracicus,Spotted Bush-warbler,Locustella thoracica,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus montis,Bradypterus_montis,Javan Bush-warbler,Locustella montis,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Acrocephalus rimatarae,Acrocephalus_rimatarae,Rimatara Reed-warbler,Acrocephalus rimitarae,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia acanthizoides,Cettia_acanthizoides,Yellowish-bellied Bush-warbler,Horornis acanthizoides,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia annae,Cettia_annae,Palau Bush-warbler,Horornis annae,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia brunnescens,Cettia_brunnescens,Hume's Bush-warbler,Horornis brunnescens,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia canturians,Cettia_canturians,Manchurian Bush-warbler,Horornis borealis,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia carolinae,Cettia_carolinae,Tanimbar Bush-warbler,Horornis carolinae,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus tacsanowskius,Bradypterus_tacsanowskius,Chinese Bush-warbler,Locustella tacsanowskia,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus davidi,Bradypterus_davidi,David's Bush-warbler,Locustella davidi,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus caudatus,Bradypterus_caudatus,Long-tailed Bush-warbler,Locustella caudata,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus alishanensis,Bradypterus_alishanensis,Taiwan Bush-warbler,Locustella alishanensis,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus accentor,Bradypterus_accentor,Friendly Bush-warbler,Locustella accentor,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Chloropeta natalensis,Chloropeta_natalensis,Yellow Flycatcher-warbler,Iduna natalensis,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Cettia vulcania,Cettia_vulcania,Sunda Bush-warbler,Horornis vulcanius,BL3,S7S8,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus castaneus,Bradypterus_castaneus,Chestnut-backed Bush-warbler,Locustella castanea,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus palliseri,Bradypterus_palliseri,Sri Lanka Bush-warbler,Elaphrornis palliseri,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus mandelli,Bradypterus_mandelli,Russet Bush-warbler,Locustella mandelli,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus major,Bradypterus_major,Long-billed Bush-warbler,Locustella major,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus luteoventris,Bradypterus_luteoventris,Brown Bush-warbler,Locustella luteoventris,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Bradypterus seebohmi,Bradypterus_seebohmi,Benguet Bush-warbler,Locustella seebohmi,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Dromaeocercus brunneus,Dromaeocercus_brunneus,Brown Emu-tail,Bradypterus brunneus,BL3,S11,Sylviidae,Old World warblers,161,PASSERIFORMES,Passeri,No
Thryothorus modestus,Thryothorus_modestus,Plain Wren,Cantorchilus modestus,BL3,M1,Troglodytidae,Wrens,162,PASSERIFORMES,Passeri,No
Thryothorus griseus,Thryothorus_griseus,Grey Wren,Cantorchilus griseus,BL3,M1,Troglodytidae,Wrens,162,PASSERIFORMES,Passeri,No
Paradoxornis zappeyi,Paradoxornis_zappeyi,Grey-hooded Parrotbill,Sinosuthora zappeyi,BL3,S12,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Pomatorhinus erythrocnemis,Pomatorhinus_erythrocnemis,Black-necklaced Scimitar-babbler,Megapomatorhinus erythrocnemis,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Paradoxornis gularis,Paradoxornis_gularis,Grey-headed Parrotbill,Psittiparus gularis,BL3,S12,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Pomatorhinus erythrogenys,Pomatorhinus_erythrogenys,Rusty-cheeked Scimitar-babbler,Megapomatorhinus erythrogenys,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Pomatorhinus swinhoei,Pomatorhinus_swinhoei,Grey-sided Scimitar-babbler,Megapomatorhinus swinhoei,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Rimator albostriatus,Rimator_albostriatus,Sumatran Wren-babbler,Napothera albostriata,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Rimator malacoptilus,Rimator_malacoptilus,Long-billed Wren-babbler,Napothera malacoptila,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Rimator pasquieri,Rimator_pasquieri,White-throated Wren-babbler,Napothera pasquieri,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Napothera crassa,Napothera_crassa,Mountain Wren-babbler,Turdinus crassus,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Napothera brevicaudata,Napothera_brevicaudata,Streaked Wren-babbler,Turdinus brevicaudatus,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Pomatorhinus gravivox,Pomatorhinus_gravivox,Black-streaked Scimitar-babbler,Megapomatorhinus gravivox,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Pomatorhinus mcclellandi,Pomatorhinus_mcclellandi,Spot-breasted Scimitar-babbler,Megapomatorhinus mcclellandi,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Pomatorhinus hypoleucos,Pomatorhinus_hypoleucos,Large Scimitar-babbler,Megapomatorhinus hypoleucos,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Trichastoma tickelli,Trichastoma_tickelli,Buff-breasted babbler,Pellorneum tickelli,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Strophocincla cachinnans,Strophocincla_cachinnans,Black-chinned Laughingthrush,Montecincla cachinnans,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Strophocincla fairbanki,Strophocincla_fairbanki,Kerala Laughingthrush,Montecincla fairbanki,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Spelaeornis formosus,Spelaeornis_formosus,Spotted Wren-babbler,Elachura formosa,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Stachyris plateni,Stachyris_plateni,Mindanao Pygmy-babbler,Dasycrotapha plateni,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Stachyris pygmaea,Stachyris_pygmaea,Visayan Pygmy Babbler,Dasycrotapha pygmaea,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Stachyris striata,Stachyris_striata,Luzon Striped-babbler,Zosterornis striatus,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Xiphirhynchus superciliaris,Xiphirhynchus_superciliaris,Slender-billed Scimitar-babbler,Pomatorhinus superciliaris,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Stachyris latistriata,Stachyris_latistriata,Panay Striped-babbler,Zosterornis latistriatus,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Stachyris hypogrammica,Stachyris_hypogrammica,Palawan Striped-babbler,Zosterornis hypogrammicus,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Stachyris nigrorum,Stachyris_nigrorum,Negros Striped-babbler,Zosterornis nigrorum,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Turdinus marmorata,Turdinus_marmorata,Marbled Wren-babbler,Turdinus marmoratus,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Alcippe cinereiceps,Alcippe_cinereiceps,Grey-hooded Fulvetta,Fulvetta cinereiceps,BL3,S12,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Horizorhinus dohrni,Horizorhinus_dohrni,Principe Thrush-babbler,Sylvia dohrni,BL3,S12,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Garrulax bieti,Garrulax_bieti,White-speckled Laughingthrush,Ianthocincla bieti,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Garrulax caerulatus,Garrulax_caerulatus,Grey-sided Laughingthrush,Ianthocincla caerulata,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Garrulax davidi,Garrulax_davidi,Plain Laughingthrush,Ianthocincla davidi,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Macronous gularis,Macronous_gularis,Pin-striped Tit-babbler,Mixornis gularis,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Kupeornis chapini,Kupeornis_chapini,Chapin's Mountain-babbler,Turdoides chapini,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Kupeornis gilberti,Kupeornis_gilberti,White-throated Mountain-babbler,Turdoides gilberti,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Kupeornis rufocinctus,Kupeornis_rufocinctus,Red-collared Mountain-babbler,Turdoides rufocincta,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Macronous ptilosus,Macronous_ptilosus,Fluffy-backed Tit-babbler,Macronus ptilosus,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Macronous bornensis,Macronous_bornensis,Bold-striped Tit-babbler,Mixornis bornensis,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Macronous striaticeps,Macronous_striaticeps,Brown Tit-babbler,Macronus striaticeps,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Macronous kelleyi,Macronous_kelleyi,Grey-faced Tit-babbler,Mixornis kelleyi,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Garrulax henrici,Garrulax_henrici,Brown-cheeked Laughingthrush,Trochalopteron henrici,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Jabouilleia danjoui,Jabouilleia_danjoui,Short-tailed Scimitar-babbler,Napothera danjoui,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Gypsophila crispifrons,Gypsophila_crispifrons,Limestone Wren-babbler,Turdinus crispifrons,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Macronous flavicollis,Macronous_flavicollis,Grey-cheeked Tit-babbler,Mixornis flavicollis,BL3,S13,Timaliidae,Babblers and parrotbills,163,PASSERIFORMES,Passeri,No
Speirops brunneus,Speirops_brunneus,Fernando Po Speirops,Zosterops brunneus,BL3,S13,Zosteropidae,White-eyes,164,PASSERIFORMES,Passeri,No
Zosterops chloronothus,Zosterops_chloronothus,Mauritius Olive White-eye,Zosterops chloronothos,BL3,S13,Zosteropidae,White-eyes,164,PASSERIFORMES,Passeri,No
Speirops melanocephalus,Speirops_melanocephalus,Mount Cameroon Speirops,Zosterops melanocephalus,BL3,S13,Zosteropidae,White-eyes,164,PASSERIFORMES,Passeri,No
Zosterops rendovae,Zosterops_rendovae,Grey-throated White-eye,Zosterops ugiensis,BL3,S13,Zosteropidae,White-eyes,164,PASSERIFORMES,Passeri,No
Muscicapa boehmi,Muscicapa_boehmi,Boehm's Flycatcher,Bradornis boehmi,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Myioparus plumbeus,Myioparus_plumbeus,Grey Tit-flycatcher,Fraseria plumbea,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Myioparus griseigularis,Myioparus_griseigularis,Grey-throated Tit-flycatcher,Fraseria griseigularis,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Myiomela major,Myiomela_major,Nilgiri Blue Robin,Sholicola major,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Rhyacornis fuliginosa,Rhyacornis_fuliginosa,Plumbeous Water-redstart,Phoenicurus fuliginosus,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Myiomela albiventris,Myiomela_albiventris,White-bellied Blue Robin,Sholicola albiventris,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Myrmecocichla cinnamomeiventris,Myrmecocichla_cinnamomeiventris,Mocking Cliff-chat,Thamnolaea cinnamomeiventris,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Myrmecocichla arnoti,Myrmecocichla_arnoti,White-headed Black-chat,Myrmecocichla arnotti,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Myrmecocichla semirufa,Myrmecocichla_semirufa,White-winged Cliff-chat,Thamnolaea semirufa,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Muscicapella hodgsoni,Muscicapella_hodgsoni,Pygmy Blue-flycatcher,Ficedula hodgsoni,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Rhyacornis bicolor,Rhyacornis_bicolor,Luzon Water-redstart,Phoenicurus bicolor,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Rhinomyias insignis,Rhinomyias_insignis,White-browed Jungle-flycatcher,Vauriella insignis,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Rhinomyias goodfellowi,Rhinomyias_goodfellowi,Slaty-backed Jungle-flycatcher,Vauriella goodfellowi,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Rhinomyias albigularis,Rhinomyias_albigularis,White-throated Jungle-flycatcher,Vauriella albigularis,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Rhinomyias additus,Rhinomyias_additus,Streaky-breasted Jungle-flycatcher,Eumyias additus,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Rhinomyias oscillans,Rhinomyias_oscillans,Russet-backed Jungle-flycatcher,Cyornis oscillans,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Rhinomyias olivaceus,Rhinomyias_olivaceus,Fulvous-chested Jungle-flycatcher,Cyornis olivaceus,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Rhinomyias gularis,Rhinomyias_gularis,Eyebrowed Jungle-flycatcher,Vauriella gularis,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Oenanthe bifasciata,Oenanthe_bifasciata,Buff-streaked Chat,Saxicola bifasciatus,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Oenanthe chrysopygia,Oenanthe_chrysopygia,Red-tailed Wheatear,Oenanthe xanthoprymna,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Rhinomyias umbratilis,Rhinomyias_umbratilis,Grey-chested Jungle-flycatcher,Cyornis umbratilis,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Rhinomyias ruficauda,Rhinomyias_ruficauda,Rufous-tailed Jungle-flycatcher,Cyornis ruficauda,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Rhinomyias colonus,Rhinomyias_colonus,Henna-tailed Jungle-flycatcher,Cyornis colonus,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Rhinomyias brunneatus,Rhinomyias_brunneatus,Brown-chested Jungle-flycatcher,Cyornis brunneatus,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Monticola erythronotus,Monticola_erythronotus,Amber Mountain Rock-thrush,Monticola sharpei,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Monticola cinclorhynchus,Monticola_cinclorhynchus,Blue-capped Rock-thrush,Monticola cinclorhyncha,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Monticola imerinus,Monticola_imerinus,Littoral Rock-thrush,Monticola imerina,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Copsychus stricklandii,Copsychus_stricklandii,White-crowned Shama,Copsychus malabaricus,IOC27,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Chaimarrornis leucocephalus,Chaimarrornis_leucocephalus,White-capped Water-redstart,Phoenicurus leucocephalus,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Cossypha albicapilla,Cossypha_albicapilla,White-crowned Robin-chat,Cossypha albicapillus,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Cyornis pallipes,Cyornis_pallipes,White-bellied Blue-flycatcher,Cyornis pallidipes,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Erythropygia leucophrys,Erythropygia_leucophrys,Red-backed Scrub-robin,Cercotrichas leucophrys,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Erythropygia leucosticta,Erythropygia_leucosticta,Forest Scrub-robin,Cercotrichas leucosticta,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Erythropygia paena,Erythropygia_paena,Kalahari Scrub-robin,Cercotrichas paena,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Erythropygia quadrivirgata,Erythropygia_quadrivirgata,Bearded Scrub-robin,Cercotrichas quadrivirgata,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Erythropygia signata,Erythropygia_signata,Brown Scrub-robin,Cercotrichas signata,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Luscinia obscura,Luscinia_obscura,Black-throated Blue Robin,Calliope obscura,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Luscinia pectoralis,Luscinia_pectoralis,White-tailed Rubythroat,Calliope pectoralis,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Erythropygia galactotes,Erythropygia_galactotes,Rufous-tailed Scrub-robin,Cercotrichas galactotes,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Erythropygia barbata,Erythropygia_barbata,Miombo Scrub-robin,Cercotrichas barbata,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Erythropygia coryphaeus,Erythropygia_coryphaeus,Karoo Scrub-robin,Cercotrichas coryphoeus,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Dioptrornis chocolatinus,Dioptrornis_chocolatinus,Abyssinian Slaty Flycatcher,Melaenornis chocolatinus,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Erythropygia hartlaubi,Erythropygia_hartlaubi,Brown-backed Scrub-robin,Cercotrichas hartlaubi,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Dioptrornis brunneus,Dioptrornis_brunneus,Angola Slaty Flycatcher,Melaenornis brunneus,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Dioptrornis fischeri,Dioptrornis_fischeri,White-eyed Slaty Flycatcher,Melaenornis fischeri,BL3,M6,Muscicapidae,Chats and Old World flycatchers,167,PASSERIFORMES,Passeri,No
Nectarinia ludovicensis,Nectarinia_ludovicensis,Ludwig's Double-collared Sunbird,Cinnyris ludovicensis,IOC27,P2,Nectariniidae,Sunbirds,168,PASSERIFORMES,Passeri,No
Nectarinia manoensis,Nectarinia_manoensis,Miombo Double-collared Sunbird,Cinnyris manoensis,BL3,P2,Nectariniidae,Sunbirds,168,PASSERIFORMES,Passeri,No
Nectarinia fuelleborni,Nectarinia_fuelleborni,Olive-bellied Double-collared Sunbird,Cinnyris mediocris,BL3,P2,Nectariniidae,Sunbirds,168,PASSERIFORMES,Passeri,No
Nectarinia notata,Nectarinia_notata,Long-billed Green Sunbird,Cinnyris lotenius,BL3,P2,Nectariniidae,Sunbirds,168,PASSERIFORMES,Passeri,No
Nectarinia thomensis,Nectarinia_thomensis,Giant Sunbird,Dreptes thomensis,BL3,P2,Nectariniidae,Sunbirds,168,PASSERIFORMES,Passeri,No
Nectarinia stuhlmanni,Nectarinia_stuhlmanni,Ruwenzori Double-collared Sunbird,Cinnyris stuhlmanni,IOC27,P2,Nectariniidae,Sunbirds,168,PASSERIFORMES,Passeri,No
Nectarinia veroxii,Nectarinia_veroxii,Mouse-coloured Sunbird,Cyanomitra veroxii,BL3,P2,Nectariniidae,Sunbirds,168,PASSERIFORMES,Passeri,No
Anthreptes fraseri,Anthreptes_fraseri,Scarlet-tufted Sunbird,Nectarinia johnstoni,BL3,P2,Nectariniidae,Sunbirds,168,PASSERIFORMES,Passeri,No
Hypogramma hypogrammicum,Hypogramma_hypogrammicum,Purple-naped Sunbird,Arachnothera hypogrammicum,BL3,P2,Nectariniidae,Sunbirds,168,PASSERIFORMES,Passeri,No
Ortygospiza locustella,Ortygospiza_locustella,Locust Finch,Paludipasser locustella,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri,No
Uraeginthus granatinus,Uraeginthus_granatinus,Common Grenadier,Granatina ianthinogaster,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri,No
Lonchura bicolor,Lonchura_bicolor,Black-and-white Munia,Spermestes bicolor,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri,No
Lonchura nigriceps,Lonchura_nigriceps,Brown-backed Munia,Spermestes bicolor,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri,No
Lonchura cucullata,Lonchura_cucullata,Bronze Munia,Spermestes cucullata,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri,No
Lonchura malabarica,Lonchura_malabarica,White-throated Munia,Euodice malabarica,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri,No
Lonchura griseicapilla,Lonchura_griseicapilla,Grey-headed Silverbill,Odontospiza griseicapilla,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri,No
Lonchura fringilloides,Lonchura_fringilloides,Magpie Munia,Spermestes fringilloides,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri,No
Lonchura leucosticta,Lonchura_leucosticta,White-spotted Munia,Lonchura tristissima,BL3,P7,Estrildidae,"Waxbills, grass finches, munias and allies",169,PASSERIFORMES,Passeri,No
Anthus longicaudatus,Anthus_longicaudatus,Long-tailed Pipit,Anthus vaalensis,BL3,P9,Motacillidae,Wagtails and pipits,170,PASSERIFORMES,Passeri,No
Macronyx fuellebornii,Macronyx_fuellebornii,Fuelleborn's Longclaw,Macronyx fuelleborni,BL3,P9,Motacillidae,Wagtails and pipits,170,PASSERIFORMES,Passeri,No
Phaeothlypis rivularis,Phaeothlypis_rivularis,Neotropical River Warbler,Myiothlypis rivularis,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri,No
Basileuterus chlorophrys,Basileuterus_chlorophrys,Choco Warbler,Myiothlypis chrysogaster,IOC27,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri,No
Basileuterus cinereicollis,Basileuterus_cinereicollis,Grey-throated Warbler,Myiothlypis cinereicollis,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri,No
Basileuterus fraseri,Basileuterus_fraseri,Grey-and-gold Warbler,Myiothlypis fraseri,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri,No
Basileuterus hypoleucus,Basileuterus_hypoleucus,White-bellied Warbler,Basileuterus culicivorus,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri,No
Dendroica aestiva,Dendroica_aestiva,American Yellow Warbler,Setophaga petechia,IOC27,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri,No
Dendroica delicata,Dendroica_delicata,St Lucia Warbler,Setophaga delicata,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri,No
Geothlypis velata,Geothlypis_velata,Southern Yellowthroat,Geothlypis aequinoctialis,IOC27,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri,No
Dendroica nigrescens,Dendroica_nigrescens,Black-throated Grey Warbler,Setophaga nigrescens,BL3,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri,No
Geothlypis chiriquensis,Geothlypis_chiriquensis,Chiriqui Yellowthroat,Geothlypis semiflava,IOC27,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri,No
Geothlypis auricularis,Geothlypis_auricularis,Black-lored Yellowthroat,Geothlypis aequinoctialis,IOC27,P20a,Parulidae,New World warblers,171,PASSERIFORMES,Passeri,No
Salpornis spilonotus,Salpornis_spilonotus,Spotted Treecreeper,Salpornis spilonota,BL3,M1,Certhiidae,Treecreepers,174,PASSERIFORMES,Passeri,No
Sturnus sturninus,Sturnus_sturninus,Purple-backed Starling,Agropsar sturninus,BL3,M4,Sturnidae,Starlings,177,PASSERIFORMES,Passeri,No
