SCIENTIFIC_NAME_tree,TipLabel,COMMON_NAME_tree,ebird_SCIENTIFIC_NAME,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc,matched
Alectroenas pulcherrima,Alectroenas_pulcherrima,Seychelles Blue-pigeon,Alectroenas pulcherrimus,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba rubescens,Gallicolumba_rubescens,Marquesan Ground-dove,Alopecoenas rubescens,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba kubaryi,Gallicolumba_kubaryi,Caroline Islands Ground-dove,Alopecoenas kubaryi,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba sanctaecrucis,Gallicolumba_sanctaecrucis,Santa Cruz Ground-dove,Alopecoenas sanctaecrucis,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba stairi,Gallicolumba_stairi,Shy Ground-dove,Alopecoenas stairi,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba xanthonura,Gallicolumba_xanthonura,White-throated Ground-dove,Alopecoenas xanthonurus,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Ducula subflavescens,Ducula_subflavescens,Yellowish Imperial-pigeon,Ducula spilorrhoa,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba jobiensis,Gallicolumba_jobiensis,White-bibbed Ground-dove,Alopecoenas jobiensis,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba hoedtii,Gallicolumba_hoedtii,Wetar Ground-dove,Alopecoenas hoedtii,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba erythroptera,Gallicolumba_erythroptera,Polynesian Ground-dove,Alopecoenas erythropterus,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon linearis,Geotrygon_linearis,Lined Quail-dove,Zentrygon linearis,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon veraguensis,Geotrygon_veraguensis,Olive-backed Quail-dove,Leptotrygon veraguensis,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon frenata,Geotrygon_frenata,White-throated Quail-dove,Zentrygon frenata,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Leptotila cassini,Leptotila_cassini,Grey-chested Dove,Leptotila cassinii,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon albifacies,Geotrygon_albifacies,White-faced Quail-dove,Zentrygon albifacies,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon lawrencii,Geotrygon_lawrencii,Purplish-backed Quail-dove,Zentrygon lawrencii,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon goldmani,Geotrygon_goldmani,Russet-crowned Quail-dove,Zentrygon goldmani,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon carrikeri,Geotrygon_carrikeri,Tuxtla Quail-dove,Zentrygon carrikeri,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon chiriquensis,Geotrygon_chiriquensis,Rufous-breasted Quail-dove,Zentrygon chiriquensis,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon costaricensis,Geotrygon_costaricensis,Buff-fronted Quail-dove,Zentrygon costaricensis,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba beccarii,Gallicolumba_beccarii,Bronze Ground-dove,Alopecoenas beccarii,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba canifrons,Gallicolumba_canifrons,Palau Ground-dove,Alopecoenas canifrons,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Leptotila battyi,Leptotila_battyi,Brown-backed Dove,Leptotila plumbeiceps,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Chrysococcyx russatus,Chrysococcyx_russatus,Gould's Bronze-cuckoo,Chrysococcyx minutillus,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Chrysococcyx crassirostris,Chrysococcyx_crassirostris,Pied Bronze-cuckoo,Chrysococcyx minutillus,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Centropus spilopterus,Centropus_spilopterus,Kai Coucal,Centropus phasianinus,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Cuculus fugax,Cuculus_fugax,Hodgson's Hawk-cuckoo,Hierococcyx nisicolor,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Chrysococcyx meyeri,Chrysococcyx_meyeri,White-eared Bronze-cuckoo,Chrysococcyx meyerii,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Cuculus varius,Cuculus_varius,Common Hawk-cuckoo,Hierococcyx varius,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Cuculus vagans,Cuculus_vagans,Moustached Hawk-cuckoo,Hierococcyx vagans,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Cuculus sparverioides,Cuculus_sparverioides,Large Hawk-cuckoo,Hierococcyx sparverioides,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Carpococcyx radiatus,Carpococcyx_radiatus,Bornean Ground-cuckoo,Carpococcyx radiceus,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Cacomantis sepulcralis,Cacomantis_sepulcralis,Rusty-breasted Cuckoo,Cacomantis variolosus,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Psittacula calthropae,Psittacula_calthropae,Emerald-collared Parakeet,Psittacula calthrapae,BL3,Psittacidae1,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,No
Cacatua leadbeateri,Cacatua_leadbeateri,Major Mitchell's Cockatoo,Lophochroa leadbeateri,BL3,Cacatuidae,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,No
Amazona mercenaria,Amazona_mercenaria,Scaly-naped Amazon,Amazona mercenarius,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,No
