SCIENTIFIC_NAME_tree,TipLabel,COMMON_NAME_tree,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc,matched
Sterna nereis,Sterna_nereis,Fairy Tern,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES,No
Larus hartlaubii,Larus_hartlaubii,King Gull,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES,No
Gygis microrhyncha,Gygis_microrhyncha,Little White Tern,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES,No
Larus thayeri,Larus_thayeri,Thayer's Gull,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES,No
Larus modestus,Larus_modestus,Grey Gull,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES,No
Larus cirrocephalus,Larus_cirrocephalus,Grey-headed Gull,BL3,Lari,Laridae,Gulls and terns,61,CHARADRIIFORMES,NONPASSERIFORMES,No
Catharacta antarctica,Catharacta_antarctica,Southern Skua,BL3,Lari,Stercorariidae,Skuas and jaegers,62,CHARADRIIFORMES,NONPASSERIFORMES,No
Nesoenas picturata,Nesoenas_picturata,Madagascar Turtle-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Reinwardtoena reinwardtsi,Reinwardtoena_reinwardtsi,Great Cuckoo-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Ptilinopus greyii,Ptilinopus_greyii,Red-bellied Fruit-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Ptilinopus naina,Ptilinopus_naina,Dwarf Fruit-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Claravis godefrida,Claravis_godefrida,Purple-winged Ground-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Alectroenas pulcherrima,Alectroenas_pulcherrima,Seychelles Blue-pigeon,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba rubescens,Gallicolumba_rubescens,Marquesan Ground-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba kubaryi,Gallicolumba_kubaryi,Caroline Islands Ground-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba sanctaecrucis,Gallicolumba_sanctaecrucis,Santa Cruz Ground-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba stairi,Gallicolumba_stairi,Shy Ground-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba xanthonura,Gallicolumba_xanthonura,White-throated Ground-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Ducula subflavescens,Ducula_subflavescens,Yellowish Imperial-pigeon,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba jobiensis,Gallicolumba_jobiensis,White-bibbed Ground-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
