SCIENTIFIC_NAME,Order,Family,brain_size_mm3,body_mass_g,brain_residual,migration_status,diet_breadth,development_mode,development_time_days
Tyto_alba,STRIGIFORMES,Tytonidae,6.51,355,0.873111291,Resident,0.004723801,altricial,86.8
Tyto_capensis,STRIGIFORMES,Tytonidae,5.23,419,0.561229754,Resident,NA,altricial,73.75
Tyto_longimembris,STRIGIFORMES,Tytonidae,5.25,478,0.491167658,Resident,0.00643964,altricial,NA
Tyto_novaehollandiae,STRIGIFORMES,Tytonidae,8.47,675.33,0.775664889,Resident,0.00163104,altricial,111.5
Tyto_tenebricosa,STRIGIFORMES,Tytonidae,12.7,620.33,1.228375747,Resident,0.002692362,altricial,129
Upupa_epops,BUCEROTIFORMES,Upupidae,1.35,66.82,0.236467072,Migrant,0.009062627,altricial,43
Uraeginthus_bengalus,PASSERIFORMES (PASSERIDA),Estrildidae,0.43,9.9,0.163210399,Resident,0.057821531,altricial,30.75
Uria_aalge,CHARADRIIFORMES,Alcidae,5.73,991,0.169778086,Migrant,0.004681652,precocial,57.4
Uria_lomvia,CHARADRIIFORMES,Alcidae,5.3,990.2,0.092222268,Migrant,0.012588441,precocial,55.35
Urocolius_indicus,COLIIFORMES,Coliidae,1.07,55,0.113190473,Resident,0.056610197,altricial,33
Urocolius_macrourus,COLIIFORMES,Coliidae,1,48.4,0.11722001,Resident,NA,altricial,32
Vanellus_albiceps,CHARADRIIFORMES,Charadriidae,2.38,192,0.211548877,Resident,NA,precocial,NA
Vanellus_armatus,CHARADRIIFORMES,Charadriidae,1.94,159.5,0.11113642,Resident,0,precocial,69.5
Vanellus_cayanus,CHARADRIIFORMES,Charadriidae,1.54,76,0.295953379,Resident,0,precocial,NA
Vanellus_coronatus,CHARADRIIFORMES,Charadriidae,2.11,175,0.14312721,Resident,0,precocial,60
Vanellus_miles,CHARADRIIFORMES,Charadriidae,2.85,334.6,0.080279739,Resident,0,precocial,53.3
Vanellus_senegallus,CHARADRIIFORMES,Charadriidae,2.43,251,0.082070655,Resident,0,precocial,71
Vanellus_tricolor,CHARADRIIFORMES,Charadriidae,2.39,270.8,0.022893021,Resident,0.156120058,precocial,50.55
Vanellus_vanellus,CHARADRIIFORMES,Charadriidae,2.33,218.5,0.117811242,Migrant,0,precocial,64.3
Veniliornis_passerinus,PICIFORMES,Picidae,1.45,32.1,0.719070131,Resident,0,altricial,NA
Vermivora_peregrina,PASSERIFORMES (PASSERIDA),Parulidae,0.43,8.9,0.222925694,Migrant,0.114730902,altricial,23
