Species;resident.km2;breeding.km2;non-breeding.km2;passage.km2;range.size.km2
Aerodramus fuciphagus;1645831.273;;;;1645831.273
Aerodramus hirundinaceus;583614.1709;;;;583614.1709
Aerodramus infuscatus;182510.4117;;;;182510.4117
Aerodramus inquietus;530.001852;;;;530.001852
Aerodramus leucophaeus;1072.34311;;;;1072.34311
Aerodramus maximus;1057235.114;;;;1057235.114
Aerodramus mearnsi;254177.8165;;;;254177.8165
Aerodramus nuditarsus;364378.4946;;;;364378.4946
Aerodramus orientalis;4346.091069;;;;4346.091069
Aerodramus papuensis;163476.9101;;;;163476.9101
Aerodramus pelewensis;456.6168885;;;;456.6168885
Aerodramus salangana;483216.2243;;;;483216.2243
Aerodramus sawtelli;20.5887325;;;;20.5887325
Aerodramus spodiopygius;135880.7973;;;;135880.7973
Aerodramus terraereginae;85814.07198;;;;85814.07198
Aerodramus unicolor;248825.4012;;;;248825.4012
Aerodramus vanikorensis;1206867.083;;;;1206867.083
Aerodramus vulcanorum;7992.167991;;;;7992.167991
Aerodramus whiteheadi;11662.13569;;;;11662.13569
Aeronautes andecolus;891606.8172;;;;891606.8172
Aeronautes montivagus;842374.0833;;;;842374.0833
Aeronautes saxatalis;2260854.942;1832498.687;;;4093353.629
Aethia cristatella;190669.6253;286113.8338;5359808.064;;5836591.523
Aethia psittacula;227643.5553;170747.8813;17310413.33;;17708804.77
Aethia pusilla;31769.88366;32176.68469;3640826.903;;3704773.472
Aethia pygmaea;127305.5357;;1754827.345;;1882132.88
Aethopyga bella;273649.2349;;;;273649.2349
Aethopyga boltoni;7327.564633;;;;7327.564633
Aethopyga christinae;33869.08677;;;;33869.08677
Aethopyga duyvenbodei;545.6691425;;;;545.6691425
Aethopyga eximia;6540.169607;;;;6540.169607
Aethopyga flagrans;103678.4769;;;;103678.4769
Aethopyga gouldiae;3562417.214;;;;3562417.214
Aethopyga guimarasensis;24946.44764;;;;24946.44764
Aethopyga ignicauda;693240.9818;;;;693240.9818
Aethopyga latouchii;1722094.571;;;;1722094.571
Aethopyga linaraborae;2001.446328;;;;2001.446328
Aethopyga magnifica;31966.30145;;;;31966.30145
Aethopyga mystacalis;125499.1164;;;;125499.1164
Aethopyga nipalensis;1011350.984;;;;1011350.984
Aethopyga primigenia;11790.08841;;;;11790.08841
Aethopyga pulcherrima;211171.5198;;;;211171.5198
Aethopyga saturata;1679529.648;;;;1679529.648
Aethopyga shelleyi;13515.57534;;;;13515.57534
Aethopyga siparaja;4910351.865;;;;4910351.865
Aethopyga temminckii;593372.6779;;;;593372.6779
Aethopyga vigorsii;177755.9662;;;;177755.9662
Afropavo congensis;697302.7286;;;;697302.7286
Afrotis afra;173187.2625;;;;173187.2625
Afrotis afraoides;1934438.951;;;;1934438.951
Agamia agami;7840194.576;;;;7840194.576
Agapornis canus;412827.8679;;;;412827.8679
Agapornis fischeri;165295.926;;;;165295.926
Agapornis lilianae;207730.8269;;;;207730.8269
Agapornis nigrigenis;14409.54459;;;;14409.54459
Agapornis personatus;203528.439;;;;203528.439
Agapornis pullarius;2650638.166;;;;2650638.166
Agapornis roseicollis;455690.9328;;;;455690.9328
Agapornis swindernianus;1494975.243;;;;1494975.243
Agapornis taranta;407738.3129;;;;407738.3129
Agelaioides badius;3735202.529;;;;3735202.529
Agelaioides fringillarius;1017358.222;;;;1017358.222
Agelaius assimilis;4006.027182;;;;4006.027182
Agelaius humeralis;109318.202;;;;109318.202
Agelaius phoeniceus;8281713.52;5376087.419;429187.4698;;14086988.41
Agelaius tricolor;108439.4408;4432.962172;;;112872.403
Agelaius xanthomus;251.8948264;;;;251.8948264
Agelastes meleagrides;68536.30816;;;;68536.30816
Agelastes niger;764421.9562;;;;764421.9562
Agelasticus cyanopus;2666624.091;;;;2666624.091
Agelasticus thilius;2331525.353;;462960.0939;;2794485.446
Agelasticus xanthophthalmus;9171.680045;;;;9171.680045
Aglaeactis aliciae;180.3204495;;;;180.3204495
Aglaeactis castelnaudii;23242.37138;;;;23242.37138
Aglaeactis cupripennis;224782.8335;;;;224782.8335
Aglaeactis pamela;16518.77222;;;;16518.77222
Aglaiocercus berlepschi;4119.254039;;;;4119.254039
Aglaiocercus coelestis;27837.00417;;;;27837.00417
Aglaiocercus kingii;267333.8939;;;;267333.8939
Agraphospiza rubescens;982261.3883;;;;982261.3883
Agricola infuscatus;1446731.341;;;;1446731.341
Agricola pallidus;9110148.309;;;;9110148.309
Agriornis albicauda;580057.4126;;;;580057.4126
Agriornis lividus;591023.0439;;;;591023.0439
Agriornis micropterus;1050195.029;;1760179.72;;2810374.75
Agriornis montanus;2013496.614;155893.6739;;;2169390.288
Agriornis murinus;161449.5038;491757.6111;1460306.222;;2113513.337
Agropsar philippensis;;200831.486;363882.8524;;564714.3384
Agropsar sturninus;;3279551.915;828972.5927;4404080.928;8512605.436
Ailuroedus buccoides;374307.7699;;;;374307.7699
Ailuroedus crassirostris;209074.3895;;;;209074.3895
Ailuroedus melanotis;167368.5846;;;;167368.5846
Aimophila notosticta;29941.49174;;;;29941.49174
Aimophila rufescens;616827.4148;;;;616827.4148
Aimophila ruficeps;1182347.05;;;;1182347.05
Aix galericulata;405355.4585;1504387.185;1442389.102;;3352131.745
Aix sponsa;4017427.354;2172515.183;718224.5445;;6908167.081
Akletos goeldii;341658.4688;;;;341658.4688
Akletos melanoceps;1321024.209;;;;1321024.209
Alaemon alaudipes;9388830.611;;;;9388830.611
Alaemon hamertoni;160476.5068;;;;160476.5068
Alauda arvensis;4266315.775;21743462.71;8112844.132;;34122622.61
Alauda gulgula;8306690.121;3584719.431;4921.933678;;11896331.49
Alauda leucoptera;517859.5532;2459271.762;837964.8432;1137947.396;4953043.555
Alauda razae;1.2633235;;;;1.2633235
Alaudala raytal;1006331.369;;;;1006331.369
Alaudala rufescens;7108557.569;4436912.789;1110194.932;;12655665.29
Alaudala somalica;203062.2175;;;;203062.2175
Alca torda;;1231011.341;6586895.359;;7817906.7
Alcedo atthis;14672170.99;10316379.62;3207045.288;;28195595.9
Alcedo coerulescens;218918.2573;;;;218918.2573
Alcedo euryzona;125476.2249;;;;125476.2249
Alcedo hercules;698076.4897;;;;698076.4897
Alcedo meninting;3655222.197;;;;3655222.197
Alcedo peninsulae;1168238.54;;;;1168238.54
Alcedo quadribrachys;4674053.037;;;;4674053.037
Alcedo semitorquata;3463992.402;;;;3463992.402
Alcippe brunneicauda;764837.4157;;;;764837.4157
Alcippe grotei;231150.2493;;;;231150.2493
Alcippe morrisonia;3104130.68;;;;3104130.68
Alcippe nipalensis;340332.2889;;;;340332.2889
Alcippe peracensis;148062.703;;;;148062.703
Alcippe poioicephala;2024091.081;;;;2024091.081
