Binomial,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche,
Nectarinia_chalcomelas,-2.133536437,-0.520532234,0.301861476,-0.332463619,0.236105851,0.180952519,0.108318834,0.104054526,-0.004660399,-0.684550546,0.62937484,0.106854217,0.079639087,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_chalybea,-2.256292053,-0.585966484,0.513607286,-0.497416941,0.330080007,0.017543616,0.13725363,0.007961633,-0.101591826,-0.743629488,0.893656402,0.125544625,0.134176028,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_chloropygia,-2.628171491,-0.662577901,0.561459185,-0.228587011,0.23430688,0.128362238,0.132888075,0.104914391,-0.066478639,-0.829522339,0.775036501,0.131064293,0.139356592,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_coccinigaster,-1.375468288,-0.798184695,0.458303466,-0.311335355,0.168608695,0.141099227,0.138639497,0.131587978,-0.007055693,-0.117841786,0.786607365,0.13901209,0.08687538,Afrotropic,Herbivore,Omnivore,NA,
Nectarinia_comorensis,-2.117818666,-0.716339054,0.330766831,-0.158823325,0.367347684,0.150914569,0.10983074,0.01552974,-0.023532896,-0.464877011,0.573515863,0.103675928,0.114083798,Madagascar,Omnivore,Omnivore,NA,
Nectarinia_congensis,-1.646723356,-0.556046149,-0.28552049,-0.968510796,0.179898739,-0.415099497,0.089023908,7.38E-05,-0.075547648,-0.47484096,0.695780455,0.068160355,0.096650037,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_coquerellii,-2.269898873,-0.662448559,0.394815584,-0.026004087,0.232380653,0.082701672,0.014406058,0.07798333,-0.033310092,-0.589206091,0.515544333,0.010835171,0.124589913,Madagascar,Omnivore,Omnivore,NA,
Nectarinia_cuprea,-1.987900074,-0.669477885,0.229946295,-0.248678568,0.215111512,0.056342792,0.096212574,0.08893865,-0.031943358,-0.470718036,0.565827245,0.093478642,0.115381291,Afrotropic,Herbivore,Nectarivore,Nectarivore glean,
Nectarinia_cyanolaema,-1.261342808,-0.580465891,0.279034073,-0.362661046,0.045403023,0.009244707,0.144993448,0.160489625,-0.058352997,-0.251470748,0.647981673,0.147080784,0.107644411,Afrotropic,Herbivore,Omnivore,NA,
Nectarinia_dussumieri,-1.702091751,-0.79570786,0.43170469,-0.257059724,0.272057063,0.175468175,0.137703672,0.089916927,-0.034249746,-0.249806225,0.732189907,0.137488816,0.122320967,Madagascar,Herbivore,Nectarivore,Nectarivore glean,
Nectarinia_erythrocerca,-1.977603096,-0.44246068,0.021897722,-0.511172677,0.185282061,-0.018389938,0.113517142,0.086346875,-0.040454002,-0.680220229,0.550647313,0.108051288,0.093879268,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_famosa,-1.149074155,-0.964110807,0.168764341,-0.922535134,0.06724402,-0.215777634,0.210896882,0.101100029,-0.057569741,0.029358377,1.076231048,0.20564374,0.106974411,Afrotropic,Omnivore,Omnivore,NA,
