binomial,class,body_mass_median,litter_clutch_size,activity,hab_breadth,volant,diet_5cat
Callithrix kuhlii,Mammalia,342,2,1,4,1,2
Callithrix penicillata,Mammalia,339.98,2,1,5,1,2
Callocephalon fimbriatum,Aves,256,2,1,4,2,5
Callonetta leucophrys,Aves,341.89,8.75,1,5,2,1
Callosciurus adamsi,Mammalia,208.72,1.955,1,1,1,5
Callosciurus albescens,Mammalia,249.3344438,NA,1,3,1,5
Callosciurus baluensis,Mammalia,323.91,3,1,2,1,5
Callosciurus caniceps,Mammalia,260.955,2.1925,1,7,1,5
Callosciurus erythraeus,Mammalia,280,2.0475,1,3,1,5
Callosciurus finlaysonii,Mammalia,278,2,1,3,1,5
Callosciurus inornatus,Mammalia,325,NA,1,2,1,5
Callosciurus melanogaster,Mammalia,296,NA,1,1,1,5
Callosciurus nigrovittatus,Mammalia,205.15,2.28,1,2,1,5
Callosciurus notatus,Mammalia,209.49,2.3525,1,7,1,5
Callosciurus orestes,Mammalia,278,2.64,1,1,1,5
Callosciurus phayrei,Mammalia,269,NA,1,1,1,5
Callosciurus prevostii,Mammalia,400,1.5275,1,1,1,5
Callosciurus pygerythrus,Mammalia,252,NA,1,3,1,5
Callosciurus quinquestriatus,Mammalia,227.1022129,NA,1,2,1,5
Calochaetes coccineus,Aves,46.4,NA,1,1,2,5
Calocitta colliei,Aves,228.75,3.75,1,NA,2,5
Calocitta formosa,Aves,210,3.75,1,NA,2,5
Caloenas nicobarica,Aves,521.805,1,1,5,2,5
Calomys boliviae,Mammalia,27,4.985,2,1,1,1
Calomys callidus,Mammalia,27,4.985,2,1,1,1
Calomys callosus,Mammalia,44.95,4.9475,2,8,1,1
Calomys expulsus,Mammalia,39.86,4.985,2,5,1,1
Calomys fecundus,Mammalia,27.61181818,NA,NA,6,1,NA
Calomys hummelincki,Mammalia,27,5,2,3,1,1
Calomys laucha,Mammalia,14,5.1375,2,5,1,1
Calomys lepidus,Mammalia,20.59,4.255,2,2,1,1
Calomys musculinus,Mammalia,20.1,5.81,2,3,1,1
Calomys sorellus,Mammalia,20,4.22,2,6,1,1
Calomys tener,Mammalia,13.8,4.975,2,6,1,1
Calomys tocantinsi,Mammalia,26.45590909,NA,2,3,1,1
Calomys venustus,Mammalia,49.33,4.985,2,NA,1,1
Calomyscus bailwardi,Mammalia,20.4,3.665,2,2,1,1
Calomyscus baluchi,Mammalia,21.39,3.33,2,2,1,1
Calomyscus elburzensis,Mammalia,20.4,3.665,2,2,1,1
Calomyscus grandis,Mammalia,20.4,3.33,2,NA,1,1
Calomyscus hotsoni,Mammalia,21.42,3.33,2,2,1,1
Calomyscus mystax,Mammalia,20.4,4.3275,2,1,1,1
Calomyscus tsolovi,Mammalia,66.585,NA,2,3,1,1
Calomyscus urartensis,Mammalia,21.22,3.33,2,2,1,1
Calonectris borealis,Aves,775.225,1,NA,13,2,NA
Calonectris diomedea,Aves,655.1075,1,1,13,2,3
Calonectris edwardsii,Aves,655.1075,1,1,10,2,3
Calonectris leucomelas,Aves,578.495,1,1,10,2,5
Caloperdix oculeus,Aves,199.77,8.9,1,3,2,5
Caloramphus fuliginosus,Aves,42.85,2.7,NA,4,2,NA
Caloramphus hayii,Aves,42.85,NA,NA,4,2,NA
Calothorax lucifer,Aves,3.3,2,1,6,2,2
Calothorax pulcher,Aves,2.65,NA,1,3,2,2
Caluromys derbianus,Mammalia,326.72,3.105,2,2,1,5
Caluromys lanatus,Mammalia,350.33,2.5,2,2,1,5
Caluromys philander,Mammalia,246.47,4.26,2,1,1,5
Caluromysiops irrupta,Mammalia,257.48,2,2,1,1,2
Calypte anna,Aves,4.32,2,1,7,2,2
Calypte costae,Aves,3.10375,2,1,6,2,2
Calyptocichla serina,Aves,38.73,NA,1,NA,2,2
Calyptomena hosii,Aves,96.125,2.8,1,2,2,2
Calyptomena viridis,Aves,58.95,1.7,1,4,2,2
Calyptomena whiteheadi,Aves,156.295,1.4,1,2,2,2
Calyptophilus frugivorus,Aves,36.1,NA,1,4,2,4
Calyptophractus retusus,Mammalia,129.99,NA,2,3,1,4
Calyptorhynchus banksii,Aves,722.7916667,1,1,3,2,5
Calyptorhynchus lathami,Aves,434.4875,1,1,1,2,1
Calyptura cristata,Aves,5,NA,1,1,2,5
Camarhynchus heliobates,Aves,18,NA,1,NA,2,5
Camarhynchus pallidus,Aves,23.7,NA,1,NA,2,5
Camarhynchus parvulus,Aves,13.275,NA,1,NA,2,5
Camarhynchus pauper,Aves,16,NA,1,NA,2,5
Camarhynchus psittacula,Aves,18.525,NA,1,NA,2,5
Camaroptera brachyura,Aves,9.774166667,2.87,1,13,2,4
Camaroptera chloronota,Aves,10.9875,2,1,5,2,4
Camaroptera fasciolata,Aves,13.1,NA,1,NA,2,4
Camaroptera simplex,Aves,12.01,NA,1,NA,2,4
Camaroptera superciliaris,Aves,9.6,3,1,4,2,4
Camaroptera undosa,Aves,13,NA,1,NA,2,4
Camelus ferus,Mammalia,475000,1.195,1,1,1,1
Campephaga flava,Aves,30.3,1.85,1,6,2,4
Campephaga lobata,Aves,33.1,NA,1,NA,2,4
Campephaga oriolina,Aves,30.67,NA,1,NA,2,4
Campephaga petiti,Aves,31.02,2,1,3,2,4
Campephaga phoenicea,Aves,27.2625,2,1,3,2,4
Campephaga quiscalina,Aves,35.625,2,1,4,2,4
Campephilus gayaquilensis,Aves,244.235,NA,1,3,2,4
Campephilus guatemalensis,Aves,252,2,1,5,2,4
Campephilus haematogaster,Aves,237.25,NA,1,3,2,4
Campephilus leucopogon,Aves,249.625,NA,1,3,2,4
Campephilus magellanicus,Aves,323.5,2.5,1,2,2,4
Campephilus melanoleucos,Aves,255.25,2.5,1,9,2,4
Campephilus pollens,Aves,273.28,NA,1,1,2,4
Campephilus robustus,Aves,223.5,NA,1,2,2,4
Campephilus rubricollis,Aves,210.4383334,1,1,5,2,4
Campephilus splendens,Aves,252.1198148,NA,NA,3,2,NA
Campethera abingoni,Aves,68.01,2.5,1,8,2,4
Campethera bennettii,Aves,70.6375,3,1,2,2,4
Campethera cailliautii,Aves,42.325,2.5,1,5,2,4
Campethera caroli,Aves,50.825,2.4,1,5,2,4
Campethera maculosa,Aves,54,NA,1,7,2,4
Campethera mombassica,Aves,64.04,2.5,1,2,2,4
Campethera nivosa,Aves,38.1625,2,1,9,2,4
Campethera notata,Aves,62,2.8,1,5,2,4
Campethera nubica,Aves,60.175,3,1,3,2,4
Campethera punctuligera,Aves,71.72,2.5,1,2,2,4
Campethera scriptoricauda,Aves,63.2,3,1,2,2,4
Campethera taeniolaema,Aves,58.05166667,NA,NA,1,2,NA
Campethera tullbergi,Aves,51.525,NA,1,1,2,4
Campochaera sloetii,Aves,41,NA,1,1,2,2
Camptostoma imberbe,Aves,7.4,2,1,11,2,4
Camptostoma obsoletum,Aves,8.05,2,1,11,2,4
Campylopterus curvipennis,Aves,6,NA,1,5,2,2
Campylopterus cuvierii,Aves,7.62875,NA,NA,6,2,NA
Campylopterus duidae,Aves,6.1875,NA,1,2,2,2
Campylopterus ensipennis,Aves,9.6,2,1,3,2,2
Campylopterus falcatus,Aves,7.2,NA,1,6,2,2
Campylopterus hemileucurus,Aves,10.1975,2,1,4,2,2
Campylopterus hyperythrus,Aves,6.3,NA,1,2,2,2
Campylopterus largipennis,Aves,8.3875,2,1,4,2,2
Campylopterus phainopeplus,Aves,7.65,NA,1,3,2,2
Campylopterus rufus,Aves,7.3,2,1,3,2,2
Campylopterus villaviscensio,Aves,7.465,NA,1,2,2,2
Campylorhamphus falcularius,Aves,41.7,NA,1,4,2,4
Campylorhamphus procurvoides,Aves,33.3625,NA,1,1,2,4
Campylorhamphus pusillus,Aves,40.5,NA,1,2,2,4
Campylorhamphus trochilirostris,Aves,38.975,NA,1,9,2,4
Campylorhynchus albobrunneus,Aves,32.825,NA,1,2,2,4
Campylorhynchus brunneicapillus,Aves,38.9,3.9,1,2,2,4
Campylorhynchus chiapensis,Aves,48.6,3.45,1,3,2,4
Campylorhynchus fasciatus,Aves,30.25,3.5,1,5,2,4
Campylorhynchus griseus,Aves,42.2375,3.9,1,5,2,4
Campylorhynchus gularis,Aves,29.9875,4,1,4,2,4
Campylorhynchus jocosus,Aves,27.4,3.5,1,2,2,4
Campylorhynchus megalopterus,Aves,33.1125,NA,1,1,2,4
Campylorhynchus nuchalis,Aves,23.225,4,1,7,2,4
Campylorhynchus rufinucha,Aves,31.25,4.25,1,3,2,4
Campylorhynchus turdinus,Aves,32.675,NA,1,6,2,4
Campylorhynchus yucatanicus,Aves,35.5,NA,1,1,2,4
Campylorhynchus zonatus,Aves,34.425,3.95,1,4,2,4
Canirallus oculeus,Aves,277,2,1,4,2,4
Canis adustus,Mammalia,10321.245,4.33,2,5,1,5
Canis aureus,Mammalia,10345.23,3.845,2,10,1,3
Canis latrans,Mammalia,11989.1,5.6625,2,17,1,3
Canis lupus,Mammalia,31756.51,4.98,2,16,1,3
Canis mesomelas,Mammalia,8247.3,3.92,2,10,1,3
Canis rufus,Mammalia,29190.755,4.98,2,5,1,3
Canis simensis,Mammalia,13518.43,4,2,4,1,3
Cannomys badius,Mammalia,561.035,1.95,2,4,1,1
Cansumys canus,Mammalia,46.25861204,4.24,2,1,1,1
Capito auratus,Aves,56.285,3.75,1,5,2,2
Capito aurovirens,Aves,57.275,NA,1,3,2,2
Capito brunneipectus,Aves,57.225,3.75,1,1,2,4
Capito dayi,Aves,66.645,NA,1,2,2,2
Capito fitzpatricki,Aves,70,NA,NA,1,2,NA
Capito hypoleucus,Aves,70.95,NA,1,3,2,2
Capito maculicoronatus,Aves,54,NA,1,1,2,2
Capito niger,Aves,56.285,3.75,1,7,2,2
Capito quinticolor,Aves,60.04,NA,1,1,2,2
Capito squamatus,Aves,59.205,4,1,4,2,2
Capito wallacei,Aves,69.745,NA,1,1,2,2
Capra aegagrus,Mammalia,60500,1.475,1,7,1,1
Capra caucasica,Mammalia,58149.52,1.095,2,4,1,1
Capra cylindricornis,Mammalia,55000,1.095,2,4,1,1
Capra falconeri,Mammalia,41000,1.865,1,5,1,1
Capra ibex,Mammalia,77000,1.145,1,2,1,1
Capra nubiana,Mammalia,62624.84,1.055,1,4,1,1
Capra pyrenaica,Mammalia,60898.77,1.5,1,3,1,1
Capra sibirica,Mammalia,130000,1.18,1,4,1,1
Capra walie,Mammalia,1.00E+05,1.05,1,3,1,1
Capreolus capreolus,Mammalia,22500,1.7875,2,7,1,1
Capreolus pygargus,Mammalia,41371.03,1.9475,1,6,1,1
Capricornis crispus,Mammalia,43030.64,1,1,2,1,1
Capricornis milneedwardsii,Mammalia,95000,1,1,3,1,1
Capricornis rubidus,Mammalia,95000,1,1,3,1,1
Capricornis sumatraensis,Mammalia,110942.2,1.11,1,4,1,1
Capricornis swinhoei,Mammalia,43030.64,1,1,6,1,1
Capricornis thar,Mammalia,95000,1,1,6,1,1
Caprimulgus aegyptius,Aves,78.1,2,2,7,2,4
Caprimulgus affinis,Aves,59.025,2,2,9,2,4
Caprimulgus andamanicus,Aves,66.2,2,NA,6,2,NA
Caprimulgus asiaticus,Aves,44,2,2,8,2,4
Caprimulgus atripennis,Aves,63,2,2,3,2,4
Caprimulgus batesi,Aves,100.25,1,2,2,2,4
Caprimulgus celebensis,Aves,61.855,2,2,3,2,4
Caprimulgus clarus,Aves,42.775,2,2,6,2,4
Caprimulgus climacurus,Aves,45.8,2,2,6,2,4
Caprimulgus concretus,Aves,57.51,NA,2,1,2,4
Caprimulgus donaldsoni,Aves,29.0875,2,2,2,2,4
Caprimulgus europaeus,Aves,68.75,2,2,6,2,4
Caprimulgus eximius,Aves,66.295,2,2,3,2,4
Caprimulgus fossii,Aves,58.745,2,2,5,2,4
Caprimulgus fraenatus,Aves,59.84,2,2,5,2,4
Caprimulgus indicus,Aves,89.545,2,2,5,2,4
Caprimulgus inornatus,Aves,50.155,2,2,5,2,4
Caprimulgus jotaka,Aves,87.5,2,NA,6,2,NA
Caprimulgus longipennis,Aves,49.5,2,NA,7,2,NA
Caprimulgus macrurus,Aves,66.2,2,2,12,2,4
Caprimulgus madagascariensis,Aves,41.1,NA,2,8,2,4
Caprimulgus mahrattensis,Aves,57,2,2,12,2,4
Caprimulgus manillensis,Aves,69.55,2,2,5,2,4
Caprimulgus meesi,Aves,66.2,NA,2,6,2,4
Caprimulgus natalensis,Aves,79.275,2,2,8,2,4
Caprimulgus nubicus,Aves,48.475,2,2,5,2,4
Caprimulgus pectoralis,Aves,52.915,2,2,6,2,4
Caprimulgus phalaena,Aves,87.5,2,NA,2,2,NA
Caprimulgus poliocephalus,Aves,43.225,2,2,4,2,4
Caprimulgus prigoginei,Aves,57.51,NA,2,2,2,4
Caprimulgus pulchellus,Aves,57.51,NA,2,2,2,4
Caprimulgus ruficollis,Aves,70.25,2,2,3,2,4
Caprimulgus rufigena,Aves,53.28,2,2,6,2,4
Caprimulgus solala,Aves,57.2,NA,2,1,2,4
Caprimulgus stellatus,Aves,58.525,NA,2,2,2,4
Caprimulgus tristigma,Aves,79.2625,2,2,5,2,4
Caprimulgus vexillarius,Aves,73.575,2,NA,5,2,NA
Caprolagus hispidus,Mammalia,2497,3.46,2,2,1,1
Capromys pilorides,Mammalia,5200,2,2,4,1,1
Capsiempis flaveola,Aves,7.55,2,1,9,2,4
Caracal aurata,Mammalia,10650.01,2.125,2,4,1,3
Caracal caracal,Mammalia,13749.91,2.65,2,7,1,3
Caracara cheriway,Aves,1098.435,2.25,1,9,2,3
Caracara plancus,Aves,1213.31,2.575,1,9,2,3
Cardellina rubrifrons,Aves,8.95,4,1,1,2,4
Cardinalis cardinalis,Aves,42.845,3.12,1,8,2,1
Cardinalis phoeniceus,Aves,39.1,NA,1,2,2,1
Cardinalis sinuatus,Aves,35.345,3.38,1,3,2,1
Cardiocranius paradoxus,Mammalia,102.708793,NA,2,1,1,1
Cardioderma cor,Mammalia,26.45,1,2,3,2,4
Carduelis ambigua,Aves,15.38,NA,1,NA,2,1
Carduelis atrata,Aves,16.04,NA,1,NA,2,1
Carduelis atriceps,Aves,13.46,NA,1,NA,2,1
Carduelis barbata,Aves,15.5,NA,1,NA,2,1
Carduelis cannabina,Aves,19.53,NA,1,NA,2,1
Carduelis carduelis,Aves,16,4.9,1,10,2,1
Carduelis chloris,Aves,26,NA,1,NA,2,1
Carduelis citrinella,Aves,12.45,4.475,1,3,2,1
Carduelis corsicana,Aves,12.45,4.475,1,1,2,1
Carduelis crassirostris,Aves,19,NA,1,NA,2,1
Carduelis cucullata,Aves,9.8,NA,1,NA,2,1
Carduelis dominicensis,Aves,12.6,NA,1,NA,2,1
Carduelis flammea,Aves,13,NA,1,NA,2,1
Carduelis flavirostris,Aves,15.4,NA,1,NA,2,1
Carduelis johannis,Aves,13.4,NA,1,NA,2,1
Carduelis lawrencei,Aves,10.94,NA,1,NA,2,1
Carduelis magellanica,Aves,13.6,NA,1,NA,2,1
Carduelis monguilloti,Aves,15.38,NA,1,NA,2,1
Carduelis notata,Aves,10.9,NA,1,NA,2,1
Carduelis olivacea,Aves,15.38,NA,1,NA,2,1
Carduelis pinus,Aves,12.7,NA,1,NA,2,1
Carduelis psaltria,Aves,8.77,NA,1,NA,2,1
Carduelis siemiradzkii,Aves,15.38,NA,1,NA,2,1
Carduelis sinica,Aves,18.59,NA,1,NA,2,1
Carduelis spinescens,Aves,11.3,NA,1,NA,2,1
Carduelis spinoides,Aves,18.6,NA,1,NA,2,1
Carduelis spinus,Aves,13.24,NA,1,NA,2,1
Carduelis tristis,Aves,12.79,NA,1,NA,2,1
Carduelis uropygialis,Aves,14,NA,1,NA,2,1
Carduelis xanthogastra,Aves,12.7,NA,1,NA,2,1
Carduelis yarrellii,Aves,15.38,NA,1,NA,2,5
Carduelis yemenensis,Aves,14.3,NA,1,NA,2,1
Cariama cristata,Aves,1487.5,2.2,1,2,2,4
Caridonax fulgidus,Aves,171.81,NA,1,6,2,4
Carollia brevicauda,Mammalia,14.625,0.98,2,4,2,2
Carollia castanea,Mammalia,13.1,0.99,2,4,2,2
Carollia manu,Mammalia,15.755,NA,NA,1,2,NA
Carollia perspicillata,Mammalia,18,1,2,4,2,2
Carollia sowelli,Mammalia,16.1275,NA,2,NA,2,2
Carollia subrufa,Mammalia,15.59,0.9825,2,3,2,2
Carpitalpa arendsi,Mammalia,52.34,NA,2,7,1,4
Carpococcyx radiceus,Aves,497.5,NA,NA,2,2,NA
Carpococcyx renauldi,Aves,550,NA,1,3,2,4
Carpococcyx viridis,Aves,511.25,NA,1,2,2,4
Carpodacus cassinii,Aves,26.5,NA,1,NA,2,1
Carpodacus edwardsii,Aves,26.5,NA,1,2,2,1
Carpodacus eos,Aves,27.02,NA,1,NA,2,1
Carpodacus erythrinus,Aves,24.11,4.9,1,7,2,1
Carpodacus mexicanus,Aves,21.4,NA,1,NA,2,1
Carpodacus nipalensis,Aves,22.1,NA,1,NA,2,5
Carpodacus pulcherrimus,Aves,19.2125,NA,1,3,2,1
Carpodacus puniceus,Aves,47.84,NA,1,2,2,1
Carpodacus purpureus,Aves,23.3,NA,1,NA,2,1
Carpodacus rhodochlamys,Aves,34.7,NA,1,4,2,1
Carpodacus roborowskii,Aves,27.02,NA,1,1,2,1
Carpodacus rodochroa,Aves,17.8425,NA,1,6,2,5
Carpodacus rodopeplus,Aves,23,NA,1,2,2,1
Carpodacus roseus,Aves,28.3,NA,1,3,2,1
Carpodacus rubescens,Aves,27.02,NA,1,NA,2,1
Carpodacus rubicilla,Aves,43.15,4.5,1,5,2,1
Carpodacus rubicilloides,Aves,42.03,NA,1,4,2,1
Carpodacus synoicus,Aves,21.05,4.5,1,3,2,1
Carpodacus thura,Aves,31.87,NA,1,2,2,1
Carpodacus trifasciatus,Aves,27.02,NA,1,5,2,1
Carpodacus vinaceus,Aves,22.115,NA,1,1,2,1
Carpodectes antoniae,Aves,98,1,1,3,2,2
Carpodectes hopkei,Aves,102,NA,1,2,2,2
Carpodectes nitidus,Aves,102.05,1,1,1,2,2
Carpomys melanurus,Mammalia,219.06,NA,2,1,1,1
Carpomys phaeurus,Mammalia,183.3,NA,2,1,1,1
Carpornis cucullata,Aves,74.195,NA,1,3,2,2
Carpornis melanocephala,Aves,64.2325,NA,1,3,2,2
Carterodon sulcidens,Mammalia,113.8,NA,2,2,1,1
Caryomys eva,Mammalia,35.105,NA,2,1,1,1
Caryomys inez,Mammalia,35.605,1.94,2,2,1,1
Caryothraustes canadensis,Aves,34.25,NA,1,1,2,2
Caryothraustes poliogaster,Aves,39.725,3,1,2,2,2
Casinycteris argynnis,Mammalia,28.28,0.985,2,2,2,2
Casiornis fuscus,Aves,19.5,NA,1,2,2,4
Casiornis rufus,Aves,24.8,NA,1,6,2,4
Castor canadensis,Mammalia,19928.335,3.59,2,5,1,1
Castor fiber,Mammalia,19000,3.0025,2,6,1,1
Casuarius bennetti,Aves,32749.995,5,1,3,1,2
Casuarius casuarius,Aves,44000,5.666936791,1,4,1,2
Casuarius unappendiculatus,Aves,46686.925,6,1,2,1,2
Catagonus wagneri,Mammalia,35566.4,2.4575,1,2,1,1
Catamblyrhynchus diadema,Aves,14.15,NA,NA,1,2,4
Catamenia analis,Aves,12.725,NA,NA,7,2,1
Catamenia homochroa,Aves,12.2,NA,NA,3,2,1
Catamenia inornata,Aves,13.4,NA,NA,4,2,1
Cataponera turdoides,Aves,89.65,NA,1,1,2,5
Catharacta antarctica,Aves,1650,NA,1,14,2,3
Catharacta chilensis,Aves,1367.77,NA,1,15,2,3
Catharacta maccormicki,Aves,1347.07,NA,1,13,2,3
Catharacta skua,Aves,1338.22,NA,1,10,2,3
Catharopeza bishopi,Aves,15.3,NA,1,2,2,4
Cathartes aura,Aves,1647.12,2,1,9,2,3
Cathartes burrovianus,Aves,990.5,2,1,6,2,3
Cathartes melambrotus,Aves,1358.5,2,1,1,2,3
Catharus aurantiirostris,Aves,29.1,2,1,8,2,5
Catharus bicknelli,Aves,28.72,4,1,4,2,4
Catharus dryas,Aves,37.775,NA,1,3,2,4
Catharus frantzii,Aves,28.125,2,1,5,2,4
Catharus fuscater,Aves,33.8375,2,1,3,2,4
Catharus fuscescens,Aves,31.9125,4,1,3,2,5
Catharus gracilirostris,Aves,20.5675,2,1,3,2,5
Catharus guttatus,Aves,30.325,3.66,1,3,2,4
Catharus mexicanus,Aves,32.8125,2,1,2,2,5
Catharus minimus,Aves,31.59,4,1,4,2,4
Catharus occidentalis,Aves,25.5925,2.4,1,1,2,5
Catharus ustulatus,Aves,30.18333334,3.65,1,12,2,4
Catherpes mexicanus,Aves,11.7975,5.5,1,3,2,4
Catopuma badia,Mammalia,3429.52,NA,2,2,1,3
Catopuma temminckii,Mammalia,11500,1.39,2,7,1,3
Catreus wallichii,Aves,1446.5,10.5,NA,3,2,NA
Cavia aperea,Mammalia,524.38,2.31,1,4,1,1
Cavia fulgida,Mammalia,282.5,1.34,1,1,1,1
Cavia intermedia,Mammalia,572.79875,NA,1,1,1,1
Cavia magna,Mammalia,459.99,NA,1,2,1,1
Cavia tschudii,Mammalia,1000,1.96,1,5,1,1
Cebuella pygmaea,Mammalia,124,NA,NA,2,1,NA
Cebus apella,Mammalia,2642.5,1.05,1,NA,1,5
Cebus cay,Mammalia,2836.854444,NA,NA,NA,1,NA
Cebus flavius,Mammalia,2500,NA,NA,NA,1,NA
Cebus kaapori,Mammalia,3000,1,1,2,1,2
Cebus libidinosus,Mammalia,2687.21,1.05,1,NA,1,2
Cebus macrocephalus,Mammalia,2836.854444,NA,NA,NA,1,NA
Cebus nigritus,Mammalia,2687.21,1.0125,1,NA,1,2
Cebus robustus,Mammalia,2836.854444,NA,NA,NA,1,NA
Cebus xanthosternos,Mammalia,2687.21,1.05,1,NA,1,2
Celeus castaneus,Aves,85.595,3.5,1,3,2,4
Celeus elegans,Aves,139.485,3,1,3,2,4
Celeus flavescens,Aves,146.625,NA,1,3,2,4
Celeus flavus,Aves,130.165,NA,1,5,2,4
Celeus grammicus,Aves,74.595,NA,1,3,2,5
Celeus loricatus,Aves,76.75,NA,1,3,2,4
Celeus lugubris,Aves,140.25,NA,1,2,2,4
Celeus obrieni,Aves,113.75,1,1,2,2,4
Celeus occidentalis,Aves,114.47625,NA,NA,3,2,NA
Celeus ochraceus,Aves,154.25,NA,NA,3,2,NA
Celeus spectabilis,Aves,113.75,1,1,4,2,4
Celeus tinnunculus,Aves,114.47625,NA,NA,3,2,NA
Celeus torquatus,Aves,134,NA,1,3,2,5
Celeus undatus,Aves,64.5,NA,1,3,2,4
Centrocercus minimus,Aves,1776.23,NA,1,1,2,1
Centrocercus urophasianus,Aves,1916.23,7.35,1,1,2,1
Centronycteris centralis,Mammalia,23,0.98,2,2,2,4
Centronycteris maximiliani,Mammalia,23,0.98,2,1,2,4
Centropus andamanensis,Aves,265,2.8,1,5,2,4
Centropus anselli,Aves,210,NA,1,5,2,4
Centropus ateralbus,Aves,338.25,2.5,1,2,2,4
Centropus bengalensis,Aves,154.105,2.8,1,4,2,4
Centropus bernsteini,Aves,154.055,2,1,1,2,4
Centropus celebensis,Aves,244.36,NA,1,3,2,4
Centropus chalybeus,Aves,244.36,NA,1,1,2,4
Centropus chlororhynchos,Aves,275.2483333,2.4,NA,1,2,NA
Centropus cupreicaudus,Aves,271.59,2.9,1,6,2,3
Centropus goliath,Aves,505.335,NA,1,3,2,4
Centropus grillii,Aves,123.44,4,1,5,2,4
Centropus leucogaster,Aves,311.28,2,1,4,2,4
Centropus melanops,Aves,220.475,NA,1,2,2,4
Centropus menbeki,Aves,519,NA,1,3,2,3
Centropus milo,Aves,768.25,NA,1,5,2,4
Centropus monachus,Aves,202.655,3,1,11,2,3
Centropus nigrorufus,Aves,244.36,1.7,1,3,2,4
Centropus phasianinus,Aves,377.74,3.65,1,5,2,4
Centropus rectunguis,Aves,238,NA,1,2,2,4
Centropus senegalensis,Aves,169.5,3.2,1,11,2,3
Centropus sinensis,Aves,288.35,2.9,1,7,2,5
Centropus spilopterus,Aves,244.36,NA,1,4,2,4
Centropus steerii,Aves,192.965,NA,1,1,2,4
Centropus superciliosus,Aves,154.225,4,1,8,2,5
Centropus toulou,Aves,168.175,2.4,1,4,2,5
Centropus unirufus,Aves,180.63,NA,1,1,2,4
Centropus violaceus,Aves,499.995,3,1,1,2,4
Centropus viridis,Aves,141.25,3,1,3,2,4
Centurio senex,Mammalia,23.09,0.9925,2,6,2,2
Cephalophus adersi,Mammalia,9249.96,1,2,1,1,1
Cephalophus callipygus,Mammalia,19079.23,NA,2,2,1,1
Cephalophus dorsalis,Mammalia,20000,1,2,1,1,1
Cephalophus harveyi,Mammalia,11999.97,1,2,4,1,1
Cephalophus jentinki,Mammalia,69244.92,1,2,1,1,1
Cephalophus leucogaster,Mammalia,12954.345,1,2,1,1,1
Cephalophus natalensis,Mammalia,11999.97,1,2,3,1,1
Cephalophus niger,Mammalia,19094.32,1,2,2,1,1
Cephalophus nigrifrons,Mammalia,13900,NA,2,4,1,1
Cephalophus ogilbyi,Mammalia,19193.21,1,2,2,1,1
Cephalophus rufilatus,Mammalia,12114.57,1,2,2,1,1
Cephalophus silvicultor,Mammalia,62006.6,1,2,3,1,1
Cephalophus spadix,Mammalia,56857.02,NA,2,1,1,1
Cephalophus weynsi,Mammalia,17000,1,2,2,1,1
Cephalophus zebra,Mammalia,15654.75,1,2,1,1,1
Cephalopterus glabricollis,Aves,382.235,1,1,2,2,2
Cephalopterus ornatus,Aves,380,1,1,3,2,5
Cephalopterus penduliger,Aves,338,1,1,4,2,2
Cephalopyrus flammiceps,Aves,7,NA,1,4,2,4
Cepphus carbo,Aves,490,2,1,13,2,3
Cepphus columba,Aves,508.5,2,1,12,2,3
Cepphus grylle,Aves,384.25,2,1,11,2,3
Ceratogymna atrata,Aves,1199.145,1.45,1,2,2,2
Ceratogymna elata,Aves,1964.76,NA,1,2,2,2
Ceratotherium simum,Mammalia,2285939,1,2,3,1,1
Cercartetus caudatus,Mammalia,23.05,2.37,2,3,1,5
Cercartetus concinnus,Mammalia,15.96,4.45,2,1,1,5
Cercartetus lepidus,Mammalia,8.03,3.4975,2,3,1,5
Cercartetus nanus,Mammalia,26.85,3.97,2,2,1,5
Cercibis oxycerca,Aves,1819,NA,1,1,2,4
Cercocebus agilis,Mammalia,7775,1,1,2,1,2
Cercocebus atys,Mammalia,6941.24,1.0075,1,3,1,5
Cercocebus chrysogaster,Mammalia,9610,1,1,2,1,2
Cercocebus galeritus,Mammalia,7077.66,1.0075,1,1,1,2
Cercocebus sanjei,Mammalia,8000,1.005,1,1,1,2
Cercocebus torquatus,Mammalia,7749.97,1.005,1,3,1,2
Cercococcyx mechowi,Aves,56.05,NA,1,1,2,4
Cercococcyx montanus,Aves,58.65,NA,1,3,2,4
Cercococcyx olivinus,Aves,65.9,NA,1,2,2,4
Cercomacra brasiliana,Aves,16.93,NA,1,2,2,4
Cercomacra carbonaria,Aves,14.5,NA,1,4,2,4
Cercomacra cinerascens,Aves,14.3,NA,1,1,2,4
Cercomacra ferdinandi,Aves,15,NA,1,3,2,4
Cercomacra laeta,Aves,16.13,2,1,NA,2,4
Cercomacra manu,Aves,18.115,NA,1,3,2,4
Cercomacra melanaria,Aves,19,2,1,3,2,4
Cercomacra nigrescens,Aves,17,2,1,NA,2,4
Cercomacra nigricans,Aves,16.13,2,1,4,2,4
Cercomacra parkeri,Aves,16.93,NA,1,NA,2,4
Cercomacra serva,Aves,17,NA,1,NA,2,4
Cercomacra tyrannina,Aves,16.475,2,1,NA,2,4
Cercomela dubia,Aves,17.19,NA,1,NA,2,4
Cercomela familiaris,Aves,19.45,NA,1,NA,2,4
Cercomela fusca,Aves,12.7,NA,1,NA,2,4
Cercomela melanura,Aves,15.2,NA,1,NA,2,4
