ebird_COMMON_NAME,ebird_SCIENTIFIC_NAME,order,family,TipLabel
South Island Snipe,Coenocorypha iredalei,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA
Forbes's Snipe,Coenocorypha chathamica,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA
Chatham Islands Snipe,Coenocorypha pusilla,Charadriiformes,Scolopacidae (Sandpipers and Allies),Coenocorypha_pusilla
Snares Island Snipe,Coenocorypha huegeli,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA
Subantarctic Snipe,Coenocorypha aucklandica,Charadriiformes,Scolopacidae (Sandpipers and Allies),Coenocorypha_aucklandica
Imperial Snipe,Gallinago imperialis,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_imperialis
Jameson's Snipe,Gallinago jamesoni,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_jamesoni
Fuegian Snipe,Gallinago stricklandii,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_stricklandii
Solitary Snipe,Gallinago solitaria,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_solitaria
Latham's Snipe,Gallinago hardwickii,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_hardwickii
Wood Snipe,Gallinago nemoricola,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_nemoricola
Great Snipe,Gallinago media,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_media
Common Snipe,Gallinago gallinago,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_gallinago
Wilson's Snipe,Gallinago delicata,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA
South American Snipe,Gallinago paraguaiae,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_paraguaiae
Puna Snipe,Gallinago andina,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_andina
Noble Snipe,Gallinago nobilis,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_nobilis
Pin-tailed Snipe,Gallinago stenura,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_stenura
Swinhoe's Snipe,Gallinago megala,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_megala
African Snipe,Gallinago nigripennis,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_nigripennis
Madagascar Snipe,Gallinago macrodactyla,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_macrodactyla
Giant Snipe,Gallinago undulata,Charadriiformes,Scolopacidae (Sandpipers and Allies),Gallinago_undulata
Terek Sandpiper,Xenus cinereus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Xenus_cinereus
Wilson's Phalarope,Phalaropus tricolor,Charadriiformes,Scolopacidae (Sandpipers and Allies),Steganopus_tricolor
Red-necked Phalarope,Phalaropus lobatus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Phalaropus_lobatus
Red Phalarope,Phalaropus fulicarius,Charadriiformes,Scolopacidae (Sandpipers and Allies),Phalaropus_fulicarius
Common Sandpiper,Actitis hypoleucos,Charadriiformes,Scolopacidae (Sandpipers and Allies),Actitis_hypoleucos
Spotted Sandpiper,Actitis macularius,Charadriiformes,Scolopacidae (Sandpipers and Allies),Actitis_macularius
Green Sandpiper,Tringa ochropus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_ochropus
Solitary Sandpiper,Tringa solitaria,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_solitaria
Gray-tailed Tattler,Tringa brevipes,Charadriiformes,Scolopacidae (Sandpipers and Allies),Heteroscelus_brevipes
Wandering Tattler,Tringa incana,Charadriiformes,Scolopacidae (Sandpipers and Allies),Heteroscelus_incanus
Spotted Redshank,Tringa erythropus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_erythropus
Greater Yellowlegs,Tringa melanoleuca,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_melanoleuca
Common Greenshank,Tringa nebularia,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_nebularia
Nordmann's Greenshank,Tringa guttifer,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_guttifer
Willet,Tringa semipalmata,Charadriiformes,Scolopacidae (Sandpipers and Allies),Catoptrophorus_semipalmatus
Lesser Yellowlegs,Tringa flavipes,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_flavipes
Marsh Sandpiper,Tringa stagnatilis,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_stagnatilis
Wood Sandpiper,Tringa glareola,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_glareola
Common Redshank,Tringa totanus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Tringa_totanus
Small Buttonquail,Turnix sylvaticus,Charadriiformes,Turnicidae (Buttonquail),Turnix_sylvaticus
Red-backed Buttonquail,Turnix maculosus,Charadriiformes,Turnicidae (Buttonquail),Turnix_maculosus
Hottentot Buttonquail,Turnix hottentottus,Charadriiformes,Turnicidae (Buttonquail),Turnix_hottentottus
Yellow-legged Buttonquail,Turnix tanki,Charadriiformes,Turnicidae (Buttonquail),Turnix_tanki
Spotted Buttonquail,Turnix ocellatus,Charadriiformes,Turnicidae (Buttonquail),Turnix_ocellatus
Barred Buttonquail,Turnix suscitator,Charadriiformes,Turnicidae (Buttonquail),Turnix_suscitator
Madagascar Buttonquail,Turnix nigricollis,Charadriiformes,Turnicidae (Buttonquail),Turnix_nigricollis
Black-breasted Buttonquail,Turnix melanogaster,Charadriiformes,Turnicidae (Buttonquail),Turnix_melanogaster
Chestnut-backed Buttonquail,Turnix castanotus,Charadriiformes,Turnicidae (Buttonquail),Turnix_castanotus
Buff-breasted Buttonquail,Turnix olivii,Charadriiformes,Turnicidae (Buttonquail),Turnix_olivii
Painted Buttonquail,Turnix varius,Charadriiformes,Turnicidae (Buttonquail),Turnix_varius
Luzon Buttonquail,Turnix worcesteri,Charadriiformes,Turnicidae (Buttonquail),Turnix_worcesteri
Sumba Buttonquail,Turnix everetti,Charadriiformes,Turnicidae (Buttonquail),Turnix_everetti
Red-chested Buttonquail,Turnix pyrrhothorax,Charadriiformes,Turnicidae (Buttonquail),Turnix_pyrrhothorax
Little Buttonquail,Turnix velox,Charadriiformes,Turnicidae (Buttonquail),Turnix_velox
Quail-plover,Ortyxelos meiffrenii,Charadriiformes,Turnicidae (Buttonquail),Ortyxelos_meiffrenii
Crab-Plover,Dromas ardeola,Charadriiformes,Dromadidae (Crab-Plover),Dromas_ardeola
Cream-colored Courser,Cursorius cursor,Charadriiformes,Glareolidae (Pratincoles and Coursers),Cursorius_cursor
Somali Courser,Cursorius somalensis,Charadriiformes,Glareolidae (Pratincoles and Coursers),Cursorius_somalensis
Burchell's Courser,Cursorius rufus,Charadriiformes,Glareolidae (Pratincoles and Coursers),Cursorius_rufus
Temminck's Courser,Cursorius temminckii,Charadriiformes,Glareolidae (Pratincoles and Coursers),Cursorius_temminckii
Indian Courser,Cursorius coromandelicus,Charadriiformes,Glareolidae (Pratincoles and Coursers),Cursorius_coromandelicus
Double-banded Courser,Smutsornis africanus,Charadriiformes,Glareolidae (Pratincoles and Coursers),Rhinoptilus_africanus
Three-banded Courser,Rhinoptilus cinctus,Charadriiformes,Glareolidae (Pratincoles and Coursers),Rhinoptilus_cinctus
Bronze-winged Courser,Rhinoptilus chalcopterus,Charadriiformes,Glareolidae (Pratincoles and Coursers),Rhinoptilus_chalcopterus
Jerdon's Courser,Rhinoptilus bitorquatus,Charadriiformes,Glareolidae (Pratincoles and Coursers),Rhinoptilus_bitorquatus
Australian Pratincole,Stiltia isabella,Charadriiformes,Glareolidae (Pratincoles and Coursers),Stiltia_isabella
Collared Pratincole,Glareola pratincola,Charadriiformes,Glareolidae (Pratincoles and Coursers),Glareola_pratincola
Oriental Pratincole,Glareola maldivarum,Charadriiformes,Glareolidae (Pratincoles and Coursers),Glareola_maldivarum
Black-winged Pratincole,Glareola nordmanni,Charadriiformes,Glareolidae (Pratincoles and Coursers),Glareola_nordmanni
Madagascar Pratincole,Glareola ocularis,Charadriiformes,Glareolidae (Pratincoles and Coursers),Glareola_ocularis
Rock Pratincole,Glareola nuchalis,Charadriiformes,Glareolidae (Pratincoles and Coursers),Glareola_nuchalis
Gray Pratincole,Glareola cinerea,Charadriiformes,Glareolidae (Pratincoles and Coursers),Glareola_cinerea
Small Pratincole,Glareola lactea,Charadriiformes,Glareolidae (Pratincoles and Coursers),Glareola_lactea
Great Skua,Stercorarius skua,Charadriiformes,Stercorariidae (Skuas and Jaegers),Catharacta_skua
Chilean Skua,Stercorarius chilensis,Charadriiformes,Stercorariidae (Skuas and Jaegers),Catharacta_chilensis
South Polar Skua,Stercorarius maccormicki,Charadriiformes,Stercorariidae (Skuas and Jaegers),Catharacta_maccormicki
Brown Skua,Stercorarius antarcticus,Charadriiformes,Stercorariidae (Skuas and Jaegers),Catharacta_antarctica
Pomarine Jaeger,Stercorarius pomarinus,Charadriiformes,Stercorariidae (Skuas and Jaegers),Stercorarius_pomarinus
Parasitic Jaeger,Stercorarius parasiticus,Charadriiformes,Stercorariidae (Skuas and Jaegers),Stercorarius_parasiticus
Long-tailed Jaeger,Stercorarius longicaudus,Charadriiformes,Stercorariidae (Skuas and Jaegers),Stercorarius_longicaudus
Dovekie,Alle alle,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Alle_alle
Common Murre,Uria aalge,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Uria_aalge
Thick-billed Murre,Uria lomvia,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Uria_lomvia
Razorbill,Alca torda,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Alca_torda
Great Auk,Pinguinus impennis,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",NA
Black Guillemot,Cepphus grylle,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Cepphus_grylle
Pigeon Guillemot,Cepphus columba,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Cepphus_columba
Spectacled Guillemot,Cepphus carbo,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Cepphus_carbo
Long-billed Murrelet,Brachyramphus perdix,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Brachyramphus_perdix
Marbled Murrelet,Brachyramphus marmoratus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Brachyramphus_marmoratus
Kittlitz's Murrelet,Brachyramphus brevirostris,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Brachyramphus_brevirostris
Scripps's Murrelet,Synthliboramphus scrippsi,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",NA
Guadalupe Murrelet,Synthliboramphus hypoleucus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Synthliboramphus_hypoleucus
Craveri's Murrelet,Synthliboramphus craveri,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Synthliboramphus_craveri
Ancient Murrelet,Synthliboramphus antiquus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Synthliboramphus_antiquus
Japanese Murrelet,Synthliboramphus wumizusume,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Synthliboramphus_wumizusume
Cassin's Auklet,Ptychoramphus aleuticus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Ptychoramphus_aleuticus
Parakeet Auklet,Aethia psittacula,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Aethia_psittacula
Least Auklet,Aethia pusilla,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Aethia_pusilla
Whiskered Auklet,Aethia pygmaea,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Aethia_pygmaea
Crested Auklet,Aethia cristatella,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Aethia_cristatella
Rhinoceros Auklet,Cerorhinca monocerata,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Cerorhinca_monocerata
Atlantic Puffin,Fratercula arctica,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Fratercula_arctica
Horned Puffin,Fratercula corniculata,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Fratercula_corniculata
Tufted Puffin,Fratercula cirrhata,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Fratercula_cirrhata
Swallow-tailed Gull,Creagrus furcatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Creagrus_furcatus
Black-legged Kittiwake,Rissa tridactyla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Rissa_tridactyla
Red-legged Kittiwake,Rissa brevirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Rissa_brevirostris
Ivory Gull,Pagophila eburnea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Pagophila_eburnea
Sabine's Gull,Xema sabini,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Xema_sabini
Saunders's Gull,Saundersilarus saundersi,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_saundersi
Slender-billed Gull,Chroicocephalus genei,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_genei
Bonaparte's Gull,Chroicocephalus philadelphia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_philadelphia
Andean Gull,Chroicocephalus serranus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_serranus
Brown-hooded Gull,Chroicocephalus maculipennis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_maculipennis
Black-billed Gull,Chroicocephalus bulleri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_bulleri
Red-billed Gull,Chroicocephalus scopulinus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_scopulinus
Silver Gull,Chroicocephalus novaehollandiae,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_novaehollandiae
Gray-hooded Gull,Chroicocephalus cirrocephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_cirrocephalus
Hartlaub's Gull,Chroicocephalus hartlaubii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_hartlaubii
Black-headed Gull,Chroicocephalus ridibundus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_ridibundus
Brown-headed Gull,Chroicocephalus brunnicephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_brunnicephalus
Little Gull,Hydrocoloeus minutus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_minutus
Ross's Gull,Rhodostethia rosea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Rhodostethia_rosea
Dolphin Gull,Leucophaeus scoresbii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Leucophaeus_scoresbii
Gray Gull,Leucophaeus modestus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_modestus
Laughing Gull,Leucophaeus atricilla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_atricilla
Franklin's Gull,Leucophaeus pipixcan,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_pipixcan
Lava Gull,Leucophaeus fuliginosus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_fuliginosus
Mediterranean Gull,Ichthyaetus melanocephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_melanocephalus
Relict Gull,Ichthyaetus relictus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_relictus
White-eyed Gull,Ichthyaetus leucophthalmus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_leucophthalmus
Sooty Gull,Ichthyaetus hemprichii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_hemprichii
Pallas's Gull,Ichthyaetus ichthyaetus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_ichthyaetus
Audouin's Gull,Ichthyaetus audouinii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_audouinii
Belcher's Gull,Larus belcheri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_belcheri
Olrog's Gull,Larus atlanticus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_atlanticus
Black-tailed Gull,Larus crassirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_crassirostris
Pacific Gull,Larus pacificus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_pacificus
Heermann's Gull,Larus heermanni,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_heermanni
Mew Gull,Larus canus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_canus
Ring-billed Gull,Larus delawarensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_delawarensis
Western Gull,Larus occidentalis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_occidentalis
Yellow-footed Gull,Larus livens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_livens
California Gull,Larus californicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_californicus
Herring Gull,Larus argentatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_argentatus
Yellow-legged Gull,Larus michahellis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_michahellis
Caspian Gull,Larus cachinnans,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_cachinnans
Armenian Gull,Larus armenicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_armenicus
Iceland Gull,Larus glaucoides,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_thayeri
Lesser Black-backed Gull,Larus fuscus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_fuscus
Slaty-backed Gull,Larus schistisagus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_schistisagus
Glaucous-winged Gull,Larus glaucescens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_glaucescens
Glaucous Gull,Larus hyperboreus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_hyperboreus
Great Black-backed Gull,Larus marinus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_marinus
Kelp Gull,Larus dominicanus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_dominicanus
Brown Noddy,Anous stolidus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Anous_stolidus
Black Noddy,Anous minutus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Anous_minutus
Lesser Noddy,Anous tenuirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Anous_tenuirostris
Gray Noddy,Anous albivitta,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Procelsterna_albivitta
Blue-gray Noddy,Anous ceruleus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Procelsterna_cerulea
White Tern,Gygis alba,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Gygis_microrhyncha
Sooty Tern,Onychoprion fuscatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_fuscata
Gray-backed Tern,Onychoprion lunatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_lunata
Bridled Tern,Onychoprion anaethetus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_anaethetus
Aleutian Tern,Onychoprion aleuticus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_aleutica
Little Tern,Sternula albifrons,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_albifrons
Least Tern,Sternula antillarum,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_antillarum
Yellow-billed Tern,Sternula superciliaris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_superciliaris
Australian Fairy Tern,Sternula nereis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_nereis
Peruvian Tern,Sternula lorata,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_lorata
Saunders's Tern,Sternula saundersi,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_saundersi
Damara Tern,Sternula balaenarum,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_balaenarum
Large-billed Tern,Phaetusa simplex,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Phaetusa_simplex
Gull-billed Tern,Gelochelidon nilotica,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_nilotica
Caspian Tern,Hydroprogne caspia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_caspia
Inca Tern,Larosterna inca,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larosterna_inca
Black Tern,Chlidonias niger,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Chlidonias_niger
White-winged Tern,Chlidonias leucopterus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Chlidonias_leucopterus
Whiskered Tern,Chlidonias hybrida,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Chlidonias_hybrida
Black-fronted Tern,Chlidonias albostriatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_albostriata
Roseate Tern,Sterna dougallii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_dougallii
White-fronted Tern,Sterna striata,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_striata
Black-naped Tern,Sterna sumatrana,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_sumatrana
Common Tern,Sterna hirundo,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_hirundo
Arctic Tern,Sterna paradisaea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_paradisaea
South American Tern,Sterna hirundinacea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_hirundinacea
Antarctic Tern,Sterna vittata,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_vittata
Forster's Tern,Sterna forsteri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_forsteri
Snowy-crowned Tern,Sterna trudeaui,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_trudeaui
Black-bellied Tern,Sterna acuticauda,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_acuticauda
River Tern,Sterna aurantia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_aurantia
White-cheeked Tern,Sterna repressa,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_repressa
Kerguelen Tern,Sterna virgata,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_virgata
Royal Tern,Thalasseus maximus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_maxima
Great Crested Tern,Thalasseus bergii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_bergii
Sandwich Tern,Thalasseus sandvicensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_sandvicensis
Elegant Tern,Thalasseus elegans,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_elegans
Lesser Crested Tern,Thalasseus bengalensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_bengalensis
Chinese Crested Tern,Thalasseus bernsteini,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_bernsteini
Black Skimmer,Rynchops niger,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Rynchops_niger
African Skimmer,Rynchops flavirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Rynchops_flavirostris
Indian Skimmer,Rynchops albicollis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Rynchops_albicollis
Kagu,Rhynochetos jubatus,Eurypygiformes,Rhynochetidae (Kagu),Rhynochetos_jubatus
Sunbittern,Eurypyga helias,Eurypygiformes,Eurypygidae (Sunbittern),Eurypyga_helias
White-tailed Tropicbird,Phaethon lepturus,Phaethontiformes,Phaethontidae (Tropicbirds),Phaethon_lepturus
Red-billed Tropicbird,Phaethon aethereus,Phaethontiformes,Phaethontidae (Tropicbirds),Phaethon_aethereus
Red-tailed Tropicbird,Phaethon rubricauda,Phaethontiformes,Phaethontidae (Tropicbirds),Phaethon_rubricauda
Red-throated Loon,Gavia stellata,Gaviiformes,Gaviidae (Loons),Gavia_stellata
Arctic Loon,Gavia arctica,Gaviiformes,Gaviidae (Loons),Gavia_arctica
Pacific Loon,Gavia pacifica,Gaviiformes,Gaviidae (Loons),Gavia_pacifica
Common Loon,Gavia immer,Gaviiformes,Gaviidae (Loons),Gavia_immer
Yellow-billed Loon,Gavia adamsii,Gaviiformes,Gaviidae (Loons),Gavia_adamsii
King Penguin,Aptenodytes patagonicus,Sphenisciformes,Spheniscidae (Penguins),Aptenodytes_patagonicus
Emperor Penguin,Aptenodytes forsteri,Sphenisciformes,Spheniscidae (Penguins),Aptenodytes_forsteri
Adelie Penguin,Pygoscelis adeliae,Sphenisciformes,Spheniscidae (Penguins),Pygoscelis_adeliae
Gentoo Penguin,Pygoscelis papua,Sphenisciformes,Spheniscidae (Penguins),Pygoscelis_papua
Chinstrap Penguin,Pygoscelis antarcticus,Sphenisciformes,Spheniscidae (Penguins),Pygoscelis_antarcticus
Yellow-eyed Penguin,Megadyptes antipodes,Sphenisciformes,Spheniscidae (Penguins),Megadyptes_antipodes
Little Penguin,Eudyptula minor,Sphenisciformes,Spheniscidae (Penguins),Eudyptula_minor
African Penguin,Spheniscus demersus,Sphenisciformes,Spheniscidae (Penguins),Spheniscus_demersus
Humboldt Penguin,Spheniscus humboldti,Sphenisciformes,Spheniscidae (Penguins),Spheniscus_humboldti
Galapagos Penguin,Spheniscus mendiculus,Sphenisciformes,Spheniscidae (Penguins),Spheniscus_mendiculus
Magellanic Penguin,Spheniscus magellanicus,Sphenisciformes,Spheniscidae (Penguins),Spheniscus_magellanicus
Fiordland Penguin,Eudyptes pachyrhynchus,Sphenisciformes,Spheniscidae (Penguins),Eudyptes_pachyrhynchus
Erect-crested Penguin,Eudyptes sclateri,Sphenisciformes,Spheniscidae (Penguins),Eudyptes_sclateri
Macaroni Penguin,Eudyptes chrysolophus,Sphenisciformes,Spheniscidae (Penguins),Eudyptes_chrysolophus
Royal Penguin,Eudyptes schlegeli,Sphenisciformes,Spheniscidae (Penguins),Eudyptes_schlegeli
Southern Rockhopper Penguin,Eudyptes chrysocome,Sphenisciformes,Spheniscidae (Penguins),Eudyptes_chrysocome
Moseley's Rockhopper Penguin,Eudyptes moseleyi,Sphenisciformes,Spheniscidae (Penguins),Eudyptes_moseleyi
Snares Penguin,Eudyptes robustus,Sphenisciformes,Spheniscidae (Penguins),Eudyptes_robustus
Yellow-nosed Albatross,Thalassarche chlororhynchos,Procellariiformes,Diomedeidae (Albatrosses),Thalassarche_carteri
Gray-headed Albatross,Thalassarche chrysostoma,Procellariiformes,Diomedeidae (Albatrosses),Thalassarche_chrysostoma
Buller's Albatross,Thalassarche bulleri,Procellariiformes,Diomedeidae (Albatrosses),Thalassarche_bulleri
White-capped Albatross,Thalassarche cauta,Procellariiformes,Diomedeidae (Albatrosses),Thalassarche_steadi
Salvin's Albatross,Thalassarche salvini,Procellariiformes,Diomedeidae (Albatrosses),Thalassarche_salvini
Chatham Albatross,Thalassarche eremita,Procellariiformes,Diomedeidae (Albatrosses),Thalassarche_eremita
Black-browed Albatross,Thalassarche melanophris,Procellariiformes,Diomedeidae (Albatrosses),Thalassarche_impavida
